Gene name,Average UMI per cell (homeostatic microglia),Fold-change (DAM to homeostatic microglia),-log10(DAM) p-value (Mann-Whitney),DAM FDR p-value
1700025K23Rik,0,NaN,NaN,NaN
4930483J18Rik,0,NaN,NaN,NaN
4931414P19Rik,0,NaN,NaN,NaN
A930038C07Rik,0,NaN,NaN,NaN
AI428936,0,NaN,NaN,NaN
Ano1,0,NaN,NaN,NaN
BC068157,0,NaN,NaN,NaN
Bcas1,0,NaN,NaN,NaN
Cald1,0,NaN,NaN,NaN
Cchcr1,0,NaN,NaN,NaN
Ces5a,0,NaN,NaN,NaN
Clip3,0,NaN,NaN,NaN
Dok6,0,NaN,NaN,NaN
E130208F15Rik,0,NaN,NaN,NaN
Egf,0,NaN,NaN,NaN
Fank1,0,NaN,NaN,NaN
Gfod2,0,NaN,NaN,NaN
Gm13868,0,NaN,NaN,NaN
Klk9,0,NaN,NaN,NaN
Krtdap,0,NaN,NaN,NaN
Pcbd1,0,NaN,NaN,NaN
RP24-341K21.6,0,NaN,NaN,NaN
Sh2d6,0,NaN,NaN,NaN
SNORA70,0,NaN,NaN,NaN
Srcin1,0,NaN,NaN,NaN
St8sia1,0,NaN,NaN,NaN
Tie1,0,NaN,NaN,NaN
Tmem169,0,NaN,NaN,NaN
Vwc2l,0,NaN,NaN,NaN
Zfp385c,0,NaN,NaN,NaN
Zfp72,0,NaN,NaN,NaN
Cst7,0.084118,6.082145,88.515614,84.914136
Lyz2,0.421176,3.455854,70.382141,67.081693
Lpl,0.097353,4.946601,69.184014,66.059657
Ctsb,3.778235,2.04363,68.255592,65.256173
Ctsd,13.804706,1.452347,65.910003,63.007495
Apoe,2.924118,3.428991,62.739188,59.915861
P2ry12,10.954118,-2.051548,61.168903,58.412523
B2m,7.072353,1.374797,59.855107,57.156719
Tmem119,4.458824,-2.456107,58.756254,56.109019
Cx3cr1,11.152353,-1.359911,55.105993,52.504515
Gnas,1.475882,2.152279,53.754474,51.194388
Cd9,1.399118,2.06811,53.356627,50.83433
Ank,0.055,4.87659,51.962204,49.47467
H2-D1,0.337941,2.988854,51.773366,49.318016
Tyrobp,3.335,1.60888,51.473836,49.048449
Axl,0.069706,4.290287,48.126161,45.728803
Ctsz,1.6,1.684372,45.806799,43.43577
Itgax,0.003235,7.860371,45.544294,43.198088
Clec7a,0.032647,5.149334,43.267112,40.944388
Fth1,1.920294,1.514116,42.318021,40.017573
Serpine2,0.763529,1.998673,41.963802,39.684543
Cd63,0.390588,2.326131,41.012193,38.753137
Cd63-ps,0.196765,2.542815,39.493885,37.254135
Selplg,9.069412,-1.225303,39.41363,37.192363
Marcks,6.795294,-1.293206,37.625301,35.421763
Lgals3bp,0.400588,2.276488,37.126776,34.940271
mmu-mir-703,1.932647,1.322336,36.828263,34.658149
Cd52,0.235882,2.400643,34.574182,32.419862
Npc2,0.962353,1.672936,34.467233,32.328153
H2-K1,0.428824,2.197553,33.964708,31.840352
Cadm1,0.225882,2.492552,33.410246,31.300129
Ccl3,0.030588,5.15389,32.045144,29.948816
Ctsl,2.237941,1.456878,31.996289,29.913325
Mpeg1,2.019118,1.30654,30.323977,28.253978
Serinc3,9.199706,-0.907111,30.245977,28.188567
Trem2,2.481471,1.22707,29.377757,27.332581
Spp1,0.035588,4.312911,29.102839,27.069563
Sparc,11.989706,-0.83641,28.630962,26.609267
Cd68,1.267941,1.339356,28.332805,26.322392
AC151602.1,1.260294,1.414566,28.323703,26.324285
Gm7331,0.320294,1.757892,28.140437,26.151743
Csf1,0.017941,5.225405,27.866522,25.888294
Gusb,0.512059,1.791202,27.188383,25.220374
Gm10076,0.659706,1.496788,26.886031,24.928006
Cd34,0.258824,2.233617,26.765227,24.816962
Grn,3.173235,1.03402,26.594712,24.655992
Cd83,0.142647,2.817012,26.457415,24.528035
Rps24-ps3,0.149412,2.282069,26.42926,24.509024
Gm15772,0.497941,1.629177,25.972537,24.061255
Cd164,1.568529,-2.019339,25.61175,23.709242
Maf,1.703824,-2.252391,24.546455,22.652547
Igf1,0.033824,4.222486,24.230077,22.344602
Hexa,1.585,1.191048,24.210447,22.333244
Rplp1,1.515,1.136136,23.712419,21.843335
Rps14,0.862353,1.40771,23.688959,21.827843
Rps21,1.000882,1.228009,23.630464,21.777174
Gm5239,0.233235,1.726306,23.498216,21.652613
Psat1,0.028824,3.87903,23.476334,21.638284
P2ry13,2.42,-1.586586,23.444504,21.613878
Syngr1,0.471176,1.683157,22.448378,20.625051
Ccr5,1.477353,-2.340838,22.33377,20.517622
Rps24,1.067941,1.323789,22.26169,20.452604
Glul,3.407353,-1.334853,22.122472,20.320335
Ccl6,0.410294,2.4344,22.090362,20.295064
Rps28,0.620294,1.366575,22.018725,20.23016
Fam20c,0.006765,5.700718,21.584578,19.802644
Ctsa,1.497647,1.195445,21.505042,19.729639
Baiap2l2,0.009706,4.977393,21.453261,19.684292
Gm6030,0.150588,2.117364,21.439177,19.676548
Gm13456,0.622353,1.337027,21.354427,19.598047
Mir682,0.292941,1.607516,21.353137,19.602918
Rpl37a,0.594412,1.368778,21.217671,19.473525
Rhob,2.024118,-1.397014,21.010113,19.271958
Gm10186,0.336765,1.616274,20.96388,19.231634
Rplp2,0.645882,1.1789,20.718306,18.991889
Capg,0.031765,3.526223,20.575285,18.85462
Gm7363,0.219118,1.73588,20.530014,18.815027
Rps5,0.800588,1.421863,20.50487,18.795486
Gm8730,0.611765,1.352626,20.082644,18.378793
Rpl23,0.468529,1.581372,19.919881,18.221493
Ramp1,0.136471,2.289131,19.481912,17.788919
Rplp2-ps1,0.571176,1.260126,19.433395,17.745731
Gm16247,0.16,1.862142,19.216676,17.534276
Siglech,4.717353,-0.917863,19.102279,17.42508
Pld3,0.289118,1.763589,19.032597,17.360538
Olfml3,4.607059,-1.077717,18.978918,17.311938
Ccl4,0.009706,5.662549,18.915519,17.253561
Gm10136,0.175,1.658244,18.90836,17.251364
Gm5244,0.371765,1.507607,18.822751,17.170663
Gm5805,0.266471,1.668591,18.790026,17.142791
Rpl38-ps2,0.334118,1.437937,18.69215,17.049714
Mif,0.065294,2.494927,18.425676,16.787986
Gm9843,0.544118,1.196004,18.397747,16.764751
Gm10443,0.233529,1.58051,18.088757,16.460407
Gm5559,0.469706,1.413005,18.045951,16.422197
Rpl37,0.422059,1.394295,17.982018,16.362812
Slco2b1,2.61,-1.270084,17.936384,16.321678
Malat1,6.372059,-1.28081,17.935825,16.325573
Zfhx3,1.213235,-1.976092,17.675709,16.069866
Rpl32,0.865,1.199755,17.612049,16.010571
Gm10073,0.365294,1.374489,17.453377,15.856221
Rps20,0.561471,1.171765,17.398073,15.805195
Gm15500,0.420588,1.238906,17.388159,15.799519
Rps16,0.230882,1.443029,17.207788,15.623344
Rpl38,0.300588,1.387452,17.198114,15.617825
Gm14456,0.917059,1.077306,17.017706,15.441533
Rpl18a,0.674118,1.04298,16.979509,15.407415
Cmtm6,1.732647,-1.377185,16.95776,15.389706
Atp6v0c,0.188824,1.5362,16.946474,15.382423
Rpl13a,0.977059,1.088686,16.639411,15.079326
Gm10925,7.284412,0.791678,16.524394,14.968239
Gm5963,0.246765,1.520315,16.470954,14.918694
Gm11410,3.418529,0.924505,16.46548,14.91708
Gm11478,0.265,1.478058,16.269081,14.724508
Rps25,0.478235,1.249659,16.204901,14.664121
Bcl2a1b,0.106471,2.12165,16.197504,14.660484
Rpl36a-ps1,0.164118,1.726041,16.103316,14.570024
AL928935.1,0.067353,2.147576,15.999716,14.47012
Lpcat2,1.863529,-1.311565,15.951629,14.425698
Nceh1,0.038235,3.240047,15.816212,14.293915
Ecscr,0.458824,-4.251806,15.761106,14.242413
Rpl10a-ps1,0.293824,1.392163,15.750023,14.234905
Timp2,1.250294,1.104524,15.735754,14.224181
Lgi2,0.031176,3.286436,15.706111,14.198055
Txnip,1.196471,-1.592088,15.631707,14.127139
Fxyd5,0.032059,2.811971,15.590084,14.088977
Csf1r,12.371765,-0.468992,15.544638,14.046963
Gm11361,0.333824,1.489229,15.502071,14.007803
Gm4149,0.349706,1.357053,15.490092,13.999204
Rnase4,3.647647,-0.920441,15.489617,14.002083
Slamf9,0.083824,2.224038,15.455526,13.97132
Cd74,0.185588,2.020314,15.442088,13.961184
Kcnj2,0.064412,2.31927,15.425316,13.947689
Rpl35a,0.479706,1.149106,15.389162,13.914789
Myo1e,0.05,2.317389,14.878018,13.406874
Lgmn,5.866765,-0.652843,14.722894,13.254955
Scpep1,0.084412,2.30368,14.70918,13.244423
Gm13340,1.171176,1.113178,14.707501,13.245902
Cox6a2,0.010294,4.450872,14.453107,12.994644
Gm13048,0.434412,1.208143,14.446403,12.991053
Gm13192,0.168824,1.597793,14.215581,12.763322
Crlf2,0.087059,2.192364,14.202193,12.753003
Scd2,0.247353,1.68015,14.177947,12.731805
Ssr4,0.271765,1.561414,14.123528,12.680412
Rpl34,0.215588,1.393778,14.075811,12.635701
Rplp0,0.689118,1.095202,14.034998,12.597873
Aplp2,0.14,2.283658,13.981943,12.547782
Fscn1,1.341765,-1.421114,13.915441,12.484225
4632428N05Rik,3.492647,-0.833698,13.911341,12.483049
Apbb2,0.052647,2.651927,13.819744,12.394357
Rpl39,0.607941,1.071896,13.795962,12.373461
Eef1b2,0.428824,1.361106,13.756288,12.336653
Gm11942,0.780294,1.004,13.740802,12.324015
Gm13826,0.235588,1.552626,13.711502,12.297544
Gm11263,0.397059,1.111819,13.488281,12.077135
Gm10294,0.267353,1.226621,13.457948,12.049594
Ftl1,0.036765,2.160799,13.432738,12.02716
Rps4x,0.574118,1.183155,13.370156,11.967335
Rpsa,0.439706,1.057522,13.305861,11.90578
Rps25-ps1,0.263529,1.243776,13.301617,11.904259
Rpl10a,0.167941,1.359364,13.12224,11.727588
Ifngr1,1.225588,-1.587352,13.061491,11.669528
Naglu,0.202941,1.607303,13.044909,11.655619
Rpl4,1.315588,0.944832,13.039341,11.652707
Srgap2,1.050294,-1.736531,12.918412,11.534418
Hif1a,0.217941,1.50198,12.899055,11.517685
Dpp7,0.038824,2.604552,12.897616,11.518855
Gm6202,0.195588,1.345016,12.818835,11.442667
Tmem173,0.916765,-1.616633,12.598326,11.224735
Rps13-ps1,0.385588,1.125664,12.591024,11.219995
Gm16238,0.344412,1.294862,12.575663,11.207181
Rps15a,0.49,1.067899,12.57258,11.20663
Gm15427,0.546765,1.05513,12.530519,11.167087
Gm15430,0.420882,1.119818,12.501522,11.140593
Rps19,0.513529,1.134927,12.468002,11.109562
Cox6a1,0.228529,1.45057,12.460631,11.104666
Gm14303,0.457353,1.013898,12.395183,11.041678
Rpl10,0.839412,0.919722,12.376579,11.025521
Gm9493,0.111471,1.634415,12.324653,10.976028
Pmepa1,2.412353,-1.11316,12.313847,10.967641
Rpl18-ps1,0.241765,1.285959,12.291569,10.947769
Sdc3,0.119118,1.619333,12.270562,10.929155
Fau,0.259412,1.243315,12.23178,10.892753
Gpr34,3.750882,-0.85822,12.216125,10.879465
Crybb1,0.379412,-3.331268,12.097718,10.763412
Rpsa-ps10,0.326471,1.177098,11.983138,10.651173
Rpl35,0.227941,1.1676,11.948006,10.618369
Rpl28-ps3,0.278824,1.269648,11.917984,10.590664
AL663027.1,0.371176,1.116367,11.901122,10.576106
Rps9,1.132059,0.864942,11.894729,10.572005
Gpr56,1.185588,-1.375122,11.879494,10.559049
Lyn,1.26,-1.258366,11.826961,10.508784
Gm13226,0.143529,1.335853,11.770148,10.454227
Rps8,0.451471,1.110577,11.738903,10.425227
Rpl22,0.532941,1.158977,11.660629,10.349186
5430435G22Rik,0.003235,5.199079,11.648244,10.339022
Rps29,0.115588,1.388502,11.636409,10.329397
Epb4.1l2,1.554118,-1.035607,11.479278,10.174465
Rps16-ps2,0.100588,1.394249,11.235858,9.933233
Itgam,2.063235,-1.124086,11.222016,9.921568
Gm14586,0.243529,1.12716,11.221765,9.923483
Rpl14,0.512353,1.158851,11.173034,9.876908
Gm10159,0.352059,0.975261,11.133874,9.839892
Gm13436,0.288235,1.312122,11.120596,9.828748
Sdf4,0.457941,1.040388,11.068554,9.77883
Ifi27l2b,0.063529,2.54468,11.004718,9.717107
Ltc4s,0.785,-1.530531,10.758933,9.473425
Mt1,0.137941,1.596954,10.730664,9.447249
Calm2,1.336176,-1.318877,10.600326,9.318995
Cxcl16,0.082647,1.926354,10.541516,9.262257
Fgd2,0.632647,-1.816765,10.540515,9.263319
Ctss,12.234706,0.387942,10.465954,9.190812
Gm10279,0.086765,1.531273,10.414998,9.1419
Gm11741,0.198529,1.23088,10.405475,9.13441
Pkm2,0.304706,1.163882,10.389894,9.120855
Rpl9-ps6,0.32,1.189514,10.385274,9.11825
Rpl12,0.210588,1.166729,10.38358,9.118562
Fam105a,0.907059,-1.725202,10.31482,9.051799
Rps10-ps1,0.420294,0.88839,10.312814,9.05178
Rps27a,0.250588,1.338044,10.300331,9.041276
Sepp1,6.027647,-0.529321,10.281641,9.024555
Rps11,0.598529,0.937205,10.224567,8.969442
Il6ra,0.960882,-1.789221,10.20998,8.956807
Gm13408,0.450294,0.908128,10.093803,8.842573
Rpl30,0.199412,1.267599,10.083717,8.834421
Sulf2,0.037941,2.428065,10.06333,8.815961
Echs1,0.090588,1.777064,10.036246,8.790794
AC113316.1,9.158529,-0.760479,9.962471,8.718928
C1qc,5.916471,-0.467267,9.954291,8.712648
Ttr,0.138824,2.889633,9.91734,8.67759
Rps18,0.096471,2.049949,9.90993,8.672064
Gm10260,0.147647,1.096433,9.845436,8.609446
Tpd52,0.124118,1.686402,9.801211,8.567089
Gm10059,0.476765,1.044275,9.790525,8.558262
Rpl28-ps1,0.081471,1.456312,9.759396,8.528986
S1pr1,0.036471,2.943855,9.740683,8.512117
Alox5ap,0.819412,-1.626175,9.739707,8.512978
Gpr65,0.018824,3.680585,9.736835,8.511934
Gm10036,0.312941,1.154975,9.706352,8.483271
Ptgs1,1.647941,-1.032244,9.702954,8.481687
Bin1,1.485882,-1.170324,9.606739,8.387278
Gm10119,0.154706,1.178906,9.603811,8.386148
Atp1b3,0.805,0.921377,9.587644,8.371772
Csf2ra,0.065294,1.864095,9.577174,8.363086
St14,0.01,3.86344,9.50725,8.294938
D4Wsu53e,1.296765,-1.193456,9.501556,8.291013
St8sia6,0.039706,2.455586,9.481259,8.272478
Cpd,0.050294,2.603934,9.408264,8.201238
Gm7290,0.114706,1.359058,9.385211,8.179932
Clec4a2,0.312941,-4.269124,9.379471,8.175933
C1qb,7.437353,-0.49408,9.344025,8.142221
Rgs2,2.342941,-0.773979,9.32213,8.122053
Cox6c,0.095588,1.888546,9.29798,8.099623
Gm10154,0.249706,0.842122,9.296106,8.099461
Ckb,0.882353,-1.52896,9.252954,8.058016
Cd48,0.226176,1.208018,9.237716,8.044478
Rpl7,0.495,0.871699,9.206749,8.015204
Prdx4,0.152353,1.211759,9.176621,7.986762
Rps6ka1,0.718529,-1.448061,9.170299,7.982121
2810422J05Rik,0.313529,1.009985,9.100698,7.914193
Dnajb14,0.150294,1.372001,9.086333,7.901495
Rpl14-ps1,0.197059,0.961614,9.062578,7.879402
Cybb,0.055294,2.691001,9.026283,7.844761
Ifi27l2a,0.013529,3.297085,9.014829,7.834954
Nrp1,0.825882,0.851862,8.998915,7.820683
Gm2000,0.270294,0.992262,8.988414,7.811817
Entpd1,0.942059,-1.189364,8.945812,7.770846
Rps26,0.438824,0.832929,8.885071,7.711727
Il10ra,0.748824,-1.277483,8.878822,7.707097
Snn,0.554706,-1.665448,8.862551,7.692436
Creg1,0.966765,0.873067,8.817245,7.648736
Susd3,0.555882,-1.685886,8.8129,7.645991
Stab1,0.343824,-2.526207,8.736682,7.571366
Filip1l,0.275,-4.178879,8.641221,7.477494
Rps10,0.753235,0.766269,8.639461,7.477316
Gnb2l1,0.86,0.750776,8.622465,7.461896
Nme2,0.122647,1.408829,8.593523,7.434525
Lrba,0.4,-2.646691,8.57764,7.420207
Fgl2,0.028529,2.767325,8.558901,7.403027
Myeov2,0.092647,1.510034,8.52737,7.37305
Gnai2,2.349706,-0.861542,8.525058,7.372286
Chst2,0,NaN,8.478509,7.32728
Itm2b,9.015882,0.385876,8.422408,7.272716
Scamp2,1.478529,-0.98273,8.408341,7.260182
Plbd2,0.151471,1.249798,8.405721,7.259087
Fam46c,0.306471,1.218334,8.373475,7.228363
Actb,13.949706,-0.354314,8.339501,7.195905
Pea15a,0.292647,1.270014,8.326991,7.184905
Tspo,0.036176,2.526072,8.319432,7.178852
Nrip1,0.572941,-1.510853,8.254333,7.115253
Gpc2,0.528529,-1.69401,8.199723,7.062138
Cd180,0.39,1.147347,8.198211,7.062116
Tgfbr1,2.848824,-0.674167,8.196404,7.061793
Pabpc1,0.645294,0.818751,8.169264,7.036133
Gm8759,0.388235,0.860103,8.153635,7.021979
Got1,0.023529,3.143029,8.125061,6.994874
H2-Q7,0.01,3.65139,8.079104,6.950383
Bst2,0.123529,1.00646,7.93628,6.809018
Irf2bp2,0.723529,-1.366391,7.863923,6.738116
Gltp,0.155294,1.255174,7.760478,6.636121
F11r,1.262941,-0.874201,7.633498,6.510587
Uqcrh,0.230882,1.09193,7.565538,6.444067
Tm6sf1,0.402059,-1.829948,7.446771,6.326736
Ubc,1.035588,-1.176668,7.428921,6.310317
Pip4k2a,0.803824,-1.112632,7.421247,6.304069
Lamp1,2.015294,0.653564,7.396632,6.280875
Atox1,0.208529,1.151854,7.383706,6.269366
Tpt1,0.378529,0.960572,7.29464,6.181713
Mamdc2,0.001765,6.302282,7.258932,6.147413
Cyba,0.9,0.603585,7.227382,6.117265
Fcer1g,1.703824,0.691891,7.222499,6.113782
Rpl3-ps1,0.375,0.723915,7.211184,6.103861
Lpar6,0.493824,-1.881424,7.189918,6.083984
H2-Ob,0.328235,0.825484,7.152827,6.048279
Rps15,0.721765,0.750952,7.129817,6.02665
Oxct1,0.368824,0.919019,7.12831,6.026519
Gm15710,0.710882,0.802414,7.118452,6.018033
Gng12,0.096176,1.544904,7.11711,6.018059
Gm6023,0.095294,1.353199,7.110744,6.013056
Ccdc72,0.110882,0.998055,7.086811,5.990483
Tpi1,0.094412,1.456817,7.061245,5.966272
Gm8129,0.043824,1.939223,7.053263,5.959641
Lamp2,0.870882,0.750789,7.051129,5.958854
Zfp36l1,1.032941,-1.349925,7.049138,5.958205
Gm10288,0.368824,0.850253,7.045126,5.955531
Fez2,0.380882,-2.26837,6.998747,5.910486
Shisa5,0.335,0.801238,6.970103,5.883173
Atp5j2,0.155,1.098642,6.953584,5.86798
Ildr2,0.005294,4.019589,6.92381,5.839528
Rpl6,0.340588,0.823215,6.907949,5.824985
Rpl8,0.825,0.789158,6.892372,5.810722
Ptplb,0.12,1.490454,6.876718,5.796378
Vkorc1,0.167353,1.339673,6.874982,5.795948
Pag1,0.901176,-1.08746,6.868759,5.791027
Nr3c1,0.575882,-1.799422,6.865358,5.788925
Gna15,0.622647,-1.364094,6.830659,5.75552
Tpst2,0.447059,-1.650431,6.809955,5.736107
Mef2a,0.951176,-0.930809,6.809324,5.736763
Rps17,0.067353,1.427387,6.784235,5.712957
Golm1,1.740588,-0.806389,6.769101,5.699102
Rps3a,0.495,0.719696,6.763035,5.694311
Tmed3,0.265294,0.885343,6.762579,5.695127
Fuca1,0.220588,1.285436,6.761763,5.69558
Pnp,0.678235,-1.065419,6.76115,5.696231
Itgb2,0.606176,0.724454,6.755092,5.691433
Cebpd,0.257941,-3.061828,6.746658,5.684256
Pmp22,0.423235,0.854839,6.739838,5.678689
Rpl10-ps3,0.175294,0.851198,6.705722,5.645823
Mthfs,0.155294,1.303268,6.67197,5.613318
Ssh2,1.002353,-1.334791,6.625164,5.567754
Elmo1,0.541471,-1.463565,6.615799,5.559628
Gm12254,0.126176,1.415803,6.608445,5.55351
Picalm,1.366471,-1.009961,6.573097,5.519394
Crip1,0.013824,2.847229,6.567638,5.515163
Dusp6,0.787353,-1.397092,6.536861,5.485611
Vegfb,0.114412,1.321093,6.536643,5.486615
Sh2b3,0.335,-1.774695,6.496901,5.448091
Ch25h,0.020588,3.194532,6.494826,5.44723
Plek,0.625,0.642127,6.487806,5.441422
Gm7079,0.295,0.791115,6.486639,5.441464
Gm9294,0.051176,1.492306,6.474545,5.430574
Serpinf1,0.221176,-2.199065,6.472608,5.429839
Adarb1,0.022941,1.746232,6.461847,5.420276
Gns,1.493824,0.618019,6.442867,5.40249
Il16,0.451765,-1.736192,6.434236,5.395051
Rtn4rl1,0.746471,-1.176018,6.405642,5.367645
Tgm2,0.149706,-5.352205,6.3724,5.335588
Pik3r1,0.44,-2.078308,6.320249,5.284619
Dapp1,0.236176,-2.863098,6.297989,5.263538
Nfkbia,0.425294,-1.694346,6.282739,5.249462
Sc4mol,0.072353,1.459303,6.248421,5.216317
St3gal6,0.750294,-1.05862,6.242713,5.211777
Gm11353,0.043529,1.822181,6.223361,5.193592
Rpl27a,0.122059,0.814475,6.222437,5.19383
Sh3bgrl3,0.298529,0.986805,6.214919,5.187472
Ubl5,0.178824,0.855498,6.203161,5.176871
Btg2,0.432059,-1.034021,6.199032,5.173896
Tsc22d3,0.365882,-1.812184,6.187264,5.163278
Rap2b,0.032647,1.838446,6.177639,5.1548
Akr1a4,0.684118,0.578325,6.159158,5.137463
Ets1,0.322647,-2.409405,6.143341,5.122788
Rpl31,0.138529,1.23315,6.12139,5.101976
BC035044,0.272059,-2.377491,6.112462,5.094183
Pgcp,0.026471,1.831962,6.100062,5.082915
H2-DMa,0.105294,1.26701,6.07931,5.063293
Man2b1,1.751176,0.627151,6.069685,5.054795
Cst3,46.351765,-0.22888,6.059475,5.045708
Mgat1,0.475294,-1.798343,6.049257,5.03661
Cox8a,0.215,1.016939,6.040745,5.029216
Ivns1abp,0.968824,-1.274347,6.012747,5.002333
Hs6st1,0.289412,-2.52559,5.993218,4.983917
Chst11,0.073235,1.251339,5.961936,4.953744
Igfbp4,0.210588,-1.923933,5.942339,4.935254
Ggh,0.114118,1.381796,5.913526,4.907545
Bola2,0.085,1.665465,5.856566,4.851685
Ggta1,0.191471,-3.759664,5.847421,4.843638
Gbp7,0.237647,-3.241287,5.843442,4.840754
Tnfrsf1b,0.507647,-1.594825,5.832865,4.83127
Ldha,0.240882,1.073106,5.802376,4.801871
Slc40a1,0.300588,-2.056693,5.796908,4.797489
Hpgd,1.098529,-0.976939,5.796337,4.798003
0610031J06Rik,0.291176,0.77701,5.764088,4.766836
Fam46a,0.466176,-1.978126,5.740669,4.744496
Cttnbp2nl,1.219412,-1.008123,5.738986,4.74389
Dusp3,0.109412,1.587424,5.687567,4.693544
Sall1,0.815588,-1.189528,5.684519,4.691567
Slc15a3,0.293235,0.862034,5.67053,4.678646
Gpnmb,0.006176,4.174354,5.666424,4.675606
Gm11407,0.358529,0.829593,5.633207,4.643452
Gas5,0.167941,1.158431,5.622817,4.634122
Rpl13,0.765,0.600854,5.622599,4.634962
Bank1,0.136765,NaN,5.622169,4.635588
Atp6v0b,0.272941,0.858152,5.619451,4.633923
Cox4i1,0.42,1.051754,5.598474,4.613996
Ifit2,0.013824,3.621669,5.590439,4.607009
Atp6v0a2,0.334706,-1.366126,5.579401,4.597016
Pgk1,0.067647,1.445904,5.539096,4.557754
Plxdc2,2.048235,0.487538,5.536871,4.556569
Pld4,1.586471,-0.602282,5.511395,4.532131
Ero1lb,0.007059,3.269367,5.488799,4.51057
Slc23a2,0.069118,1.791496,5.407386,4.43019
Wnk1,0.684412,-1.179866,5.39231,4.416144
Cstb,0.129118,1.101009,5.372696,4.397558
Tcf4,0.528235,-1.439451,5.370653,4.396541
Sox4,0.39,-2.140024,5.297561,4.324472
Cd22,0.012941,2.848264,5.284193,4.312125
Etl4,0.004412,3.625511,5.27286,4.301809
Rps3,1.092647,0.56153,5.233841,4.263806
Man1a,0.365,-1.164555,5.216734,4.247713
1500012F01Rik,0.065588,1.710542,5.198813,4.230804
Slc2a5,0.389412,-1.510819,5.188368,4.221368
Tuba1a,0.335882,-2.196102,5.175363,4.209369
Gm4604,0.350588,0.636548,5.166963,4.201973
Chst7,0.228529,-1.692993,5.147405,4.183417
Cox7a2,0.174118,1.136236,5.147035,4.184046
Rnasek,0.335,0.759228,5.141832,4.17984
Eef2k,0.217059,-2.447587,5.093998,4.133002
6330512M04Rik,0.113235,0.929748,5.082689,4.122685
Sdf2l1,0.116471,0.875031,5.053083,4.094069
Rpl24,0.128824,1.085081,5.022927,4.064901
Eef2,0.663824,0.761221,5.014172,4.057133
Cep68,0.180882,-3.43248,4.991065,4.035009
Sla,0.470882,-1.699053,4.986923,4.031849
Vasp,0.369706,-1.475122,4.985406,4.031311
Fcgr1,1.097353,-0.97404,4.976835,4.023717
Idh2,0.258529,-2.140402,4.976399,4.024255
B4galt4,0.240882,-1.58837,4.966401,4.01523
Pon3,0.181765,0.831962,4.941093,3.990893
Rpl34-ps1,0.093235,1.039323,4.932028,3.982797
Zfp710,0.345882,-1.790281,4.922795,3.974529
Adap2,0.432647,-1.264355,4.919634,3.972333
Atp6v1a,0.140882,1.110475,4.917557,3.971217
Ergic3,0.345,0.557816,4.907508,3.962128
Pogk,0.025588,2.123728,4.903305,3.958883
Gm2a,0.469118,0.780399,4.890701,3.947234
Ms4a6b,0.294706,-2.02818,4.882381,3.939868
Adrbk1,0.306176,-2.272929,4.865123,3.923562
Ifi204,0.030882,2.470863,4.852602,3.911989
Rassf3,0.119706,0.420465,4.84817,3.908505
Rogdi,0.235,-2.660342,4.820757,3.882037
Bmp2k,1.176471,-0.94647,4.784759,3.846982
Prkcd,0.469118,-1.622503,4.780499,3.843663
Slc9a9,0.366471,-1.395844,4.770916,3.835019
Slc1a3,0.375,-1.461952,4.755706,3.820746
Numb,0.506471,-1.136548,4.751347,3.817322
Uqcr10,0.115882,0.787339,4.746774,3.813682
Ppap2a,0.103235,0.888388,4.743769,3.811608
Atxn10,0.166471,1.062343,4.742916,3.811684
Abcd2,0.122353,1.384188,4.715185,3.78488
Atp5e,0.200588,0.971003,4.694729,3.765349
Rpl5,0.136176,0.809984,4.69044,3.761983
Eef1a1,0.319412,0.609791,4.689214,3.761678
Ncf1,0.661765,-0.981819,4.685282,3.758665
P2rx7,0.348529,-1.407166,4.678884,3.753185
Lifr,0.265,-2.475627,4.646108,3.721323
Mtss1,0.138824,-3.591249,4.645577,3.721706
Gm13841,0.209706,0.999862,4.641729,3.71877
Ptafr,0.447059,-1.238048,4.630958,3.708908
Rab3il1,0.637353,-1.301154,4.623562,3.70242
Prdx1,0.189118,1.258175,4.615023,3.694787
Gm4902,0.023529,2.109947,4.606715,3.687382
Eif3f,0.312647,0.620387,4.589574,3.671143
Tob2,0.173235,-1.995122,4.569519,3.651989
Ophn1,0.390588,-1.642211,4.566307,3.649674
Adrb2,0.162059,-2.045128,4.559992,3.644255
Tab2,0.492941,-1.174941,4.54285,3.628009
Tjp1,0.299412,-1.802008,4.538857,3.624908
Zfp652,0.358529,-1.74004,4.535619,3.62256
Ddx5,1.448824,-0.697837,4.534529,3.622359
Basp1,1.770294,-0.629928,4.523632,3.61235
Zeb2,0.468235,-1.097303,4.523535,3.613138
Bag1,0.145294,0.997337,4.520284,3.610771
Klhl6,0.143529,1.04843,4.514069,3.605438
Trim8,0.380294,-1.169154,4.492551,3.5848
Klhdc8b,0.167647,-2.300488,4.491674,3.584801
Inpp5d,1.030588,-0.829083,4.4867,3.580704
Arhgap27,0.228824,-1.552496,4.482182,3.57706
Soat1,0.116471,1.224973,4.470088,3.56584
Fchsd2,0.327647,-1.797718,4.469631,3.566253
Tceb2,0.164412,0.849916,4.467294,3.564786
Commd8,0.491176,-1.330638,4.461266,3.559626
Rtn1,0.221765,-2.012213,4.457253,3.556478
Ppt1,0.628235,0.541104,4.45282,3.55291
Gabarap,0.393824,0.757905,4.452229,3.553181
