,AGED_logFC,AGED_FDR_p,APP_logFC,APP_FDR_p,ERCC1_logFC,ERCC1_FDR_p,SOD1_logFC,SOD1_FDR_p,LPS_LogFC,LPS_FDR_P
COMP,-0.058062609,0.586619467,-0.247632685,0.068361545,1.104018656,2.49E-06,-0.212836859,0.949462878,3.07069332,3.63E-09
HDAC10,-0.14445839,0.291349975,-0.372755497,0.002352078,0.027569067,0.92360434,-0.231252652,0.949462878,-0.113762924,0.33068948
KCNH6,0.028958775,0.892647115,-0.013581459,0.900178344,0.016898162,0.919495102,-0.477803022,0.949462878,-0.124273394,0.199790317
MPV17,0.210768788,0.482987533,-0.085066216,0.509313076,-0.088334975,0.615931812,-0.097635848,0.949462878,-0.234118899,0.019443516
MRPL24,0.0706878,0.559351299,0.073474815,0.275736985,0.003746701,0.992044116,0.1857227,0.949462878,-0.292697993,0.050613093
NAPSA,0.085148406,0.389491057,-0.417524535,0.552780665,0.015112162,0.922012986,-0.127810068,0.949462878,0.045591738,0.436505315
PHGDH,-0.095781539,0.279442743,-0.580202861,0.000204453,-0.019164897,0.939447174,0.214149462,0.949462878,0.040900198,0.727028805
SLC1A2,-0.025787926,0.825998359,-0.608485172,0.000459249,-0.265744302,0.236306517,-0.085630507,0.949462878,0.066693413,0.720060801
SNX1,-0.076215646,0.641456043,-0.072965664,0.755966759,0.033554331,0.899293603,-0.14619714,0.949462878,0.888761291,4.01E-07
STAG2,-0.038242334,0.856554544,-0.155702973,0.705661599,-0.035729462,0.856079243,0.156652321,0.949462878,0.072807041,0.61748789
TMEM68,-0.126122686,0.307068607,-0.184107375,0.496045622,-0.051837257,0.743755823,-0.136209447,0.949462878,-0.20600691,0.042081587
TUSC2,0.070294746,0.68438882,0.185964112,0.030267912,0.006777101,0.988226842,0.214897996,0.949462878,-0.075377857,0.590496155
VPS18,-0.037692111,0.876614291,-0.76743483,6.81E-07,0.094950575,0.411707735,0.150371603,0.949462878,-0.524736107,0.000225153
XRN2,0.068424827,0.561408699,0.06517378,0.796539464,-0.03543131,0.876864857,-0.119854829,0.949462878,0.264008235,0.091542174
OLFR466,0.023767106,0.671059491,0.053358365,0.627559571,0.059918421,0.59054222,0.54337767,0.94962226,0.006200973,0.947622023
OLFR502,0.009667082,0.872801244,-0.05886639,0.591394513,0.00629319,0.966382912,-0.422185184,0.94962226,0.017250425,0.877618873
ARHGAP1,-0.000722405,0.997898876,-0.012496385,0.98009497,0.040759191,0.900995536,0.149234874,0.94966882,-0.208177836,0.24673851
DEXI,-0.090889499,0.655963798,-0.367384868,0.005730743,-0.135314521,0.646611358,-0.208119867,0.94966882,-0.620768459,0.010227728
HLCS,-0.013957898,0.900250989,-0.103868737,0.254616626,0.034657799,0.870260363,-0.151522224,0.94966882,0.001999764,0.983467723
AARS,0.111627815,0.73072176,-0.377369011,0.002377578,0.176855032,0.13320416,-0.135642005,0.9497538,0.600806381,0.000127145
MTHFSD,-0.023678478,0.82436901,0.089180355,0.409470627,0.050265782,0.861410572,-0.279791266,0.9497538,-0.198315795,0.025501597
CTR9,-0.151526046,0.062164443,-0.048250042,0.735311777,0.036455088,0.664948989,-0.13816967,0.949886471,0.024772268,0.740432231
GPR137,-0.093986069,0.597560013,-0.285810242,0.112679905,0.033065338,0.841716671,-0.192312417,0.949886471,-0.071667993,0.273976772
RDM1,-0.23492725,0.232147005,0.152948528,0.212867869,-0.156658347,0.352062738,-0.20710387,0.949886471,-0.545080119,0.004108254
RRAGB,0.032848348,0.910951458,-0.034096895,0.724157837,-0.329165158,0.04584979,0.338601544,0.949886471,0.007957609,0.976722043
WDR77,-0.341848309,0.018433811,-0.059501352,0.799585456,0.000274883,0.99915233,-0.139165949,0.949886471,0.386037779,0.000450863
HIST1H4K,-0.016141609,0.798300579,-0.270764242,0.286075656,0.038932246,0.924727906,0.209021482,0.949938723,-0.245100354,0.364725271
MSH2,-0.035119268,0.811284074,0.000719765,0.997682564,-0.06209393,0.859051642,-0.134044795,0.949938723,-0.177936425,0.041826141
ALB,0.007216133,0.902464766,-0.183923765,0.792638102,0.000656769,0.996789075,0.409864648,0.950021066,-0.003051284,0.967043775
CLP1,0.020320997,0.922795515,0.132241534,0.314291411,0.0080711,0.988342187,-0.18479467,0.950021066,0.228206522,0.159910636
NDUFAB1,-0.039704718,0.532828183,0.217403573,0.058485656,-0.098825787,0.43376507,-0.20627437,0.950021066,-0.009618966,0.968360781
SAP30L,-0.115620457,0.743344679,-0.065729003,0.618787938,-0.031879885,0.910545341,0.191606467,0.950021066,-0.868011887,0.000450863
HDC,0.16845362,0.159362425,-0.698236794,0.562170327,0.13236441,0.733708269,0.478738351,0.950173348,2.358516008,0.000661144
GSN,0.015813933,0.806007119,1.042563319,0.002472725,0.032399218,0.793616988,0.236478715,0.950249225,0.005870798,0.94944523
MYADM,0.010347545,0.940880931,-0.204009082,0.157403901,-0.060908281,0.713831731,-0.103019556,0.950352607,-0.861224299,3.00E-08
1500012F01RIK,0.346259221,0.015719473,0.936383683,3.05E-07,0.781544146,0.000102626,0.12726388,0.950544019,0.541613713,0.015926819
MGAT5,0.181978123,0.391480226,-0.30462121,0.005025981,0.044605452,0.92127817,0.136923789,0.950544019,-0.226291225,0.108352323
SNX6,-0.3020512,0.037657902,-0.531638202,0.000307508,-0.06842335,0.737922857,-0.149575471,0.950544019,-0.098310635,0.647084467
CD302,-0.091134407,0.624761944,-0.483982046,0.007472254,-0.096151063,0.494951866,-0.189807162,0.950689609,0.138128922,0.582150459
GPR146,-0.009186701,0.973315747,-0.14406715,0.297012503,-0.308146319,0.045185864,-0.129077327,0.950689609,1.260033008,8.09E-09
KCTD11,0.012636175,0.833825461,-0.237730508,0.043973246,-0.00119556,0.994179903,0.216680932,0.950776843,0.015776187,0.867439005
2900026A02RIK,0.009632501,0.874712997,0.180911889,0.04823016,0.021926287,0.864322226,-0.103161213,0.95078746,-0.001773713,0.982858987
METTL8,-0.193750985,0.184893397,-0.030910609,0.882050269,-0.044800777,0.792647548,-0.137550769,0.950788145,-0.095585659,0.131140589
UTY,-0.026430564,0.92111982,0.071756363,0.877986912,-0.228904627,0.543940286,0.393661468,0.950791437,-0.23170517,0.231193855
HIST1H2BE,-0.484393067,0.156541536,0.073383974,0.662767032,0.504805035,0.398688213,-0.217935608,0.950793603,-1.043031369,0.01403683
SAMSN1,-0.054041877,0.829568224,0.319900603,0.192467668,-0.340794885,0.007501157,0.125812191,0.950793603,1.041209402,1.46E-06
IQCE,0.026224468,0.887213969,0.046546166,0.774337392,0.054307502,0.375875788,-0.153224936,0.950902786,-0.080578693,0.436770213
OLFR202,-0.004141229,0.94580569,-0.010610079,0.920256491,-0.043390896,0.436834501,0.394056828,0.950902786,0.032523294,0.728643279
RMND5B,0.028032445,0.90538553,-0.384540729,0.00017955,0.022078727,0.938662457,-0.200027327,0.950902786,-0.074184735,0.567116917
TACC3,0.065836288,0.54907071,0.155058305,0.373441744,0.841554451,1.04E-07,0.168920752,0.950902786,-0.17467725,0.371311053
TLR11,-0.024145936,0.747988717,0.092622775,0.210401608,-0.062976072,0.785820072,0.339873675,0.950902786,0.03180647,0.715089035
TRAP1,0.018114325,0.952627717,0.178050358,0.160031486,0.208603918,0.109099501,0.154869157,0.950902786,0.07334527,0.729751892
ABHD14A,0.082184806,0.64375638,-0.053000711,0.732490707,-0.10700796,0.319513524,0.341375116,0.950938211,-0.071672032,0.410752259
B4GALT2,-0.061547843,0.795105186,-0.217051051,0.002625522,0.001819238,0.996671247,0.511656507,0.951237554,-0.042741,0.91686308
CHRND,0.015250126,0.719640616,-0.044384645,0.616604528,-0.028683318,0.737437558,-0.102114675,0.951237554,-0.000703543,0.992508327
MPP5,0.052713677,0.523581246,0.149648908,0.631813952,-0.238997561,0.203930862,0.117249156,0.951237554,-0.016302645,0.946293686
CC2D1B,-0.223432764,0.017322299,-0.212639472,0.0725836,-0.031708177,0.917799173,0.145825692,0.951380345,-0.186321835,0.022857026
IL33,-0.001023233,0.990802003,0.201779172,0.241275967,0.06271127,0.571867901,-0.394561234,0.951455497,0.005336476,0.946933498
RNF123,0.012036192,0.933090181,-0.04169061,0.704534067,0.048708644,0.660114281,-0.162927999,0.951544955,0.013692646,0.900676303
MTA1,-0.004076448,0.952980648,0.039960998,0.783491936,0.025205101,0.771233385,0.149800876,0.951546342,-0.034129118,0.631865208
NPVF,0.01731958,0.724690889,0.039576882,0.730556765,-0.036139165,0.589767964,-0.679332993,0.951546342,0.033258546,0.615680605
CASP8AP2,0.00379236,0.982483403,-0.022134473,0.967872141,0.007109006,0.95425058,-0.130948141,0.951594499,0.071511105,0.427747122
LGALS8,-0.311258479,0.09842725,-0.118635622,0.621011045,-0.171319205,0.113081708,-0.126891609,0.951594499,0.626999405,0.000162353
SLC30A6,-0.118672471,0.133667224,0.07246538,0.581501702,0.119298158,0.716596273,0.181079812,0.951594499,0.14260636,0.442183669
PHC2,-0.117331681,0.624761944,-0.099517832,0.6948376,-0.177689203,0.539037106,-0.163902131,0.951626526,-0.048722252,0.853282911
CIC,0.047701095,0.914068738,-0.127051785,0.234353029,0.008709494,0.980425251,-0.141818227,0.951651526,0.207674037,0.209064989
B3GALT4,0.003181003,0.981410022,-0.363563063,0.017445102,-0.083115078,0.636558298,0.379106377,0.95175759,-0.107215764,0.460200535
BID,-0.145392809,0.526857005,-0.548231038,0.000137101,-0.110765163,0.615931812,-0.186516828,0.95175759,-0.399711071,0.023723208
NDUFA8,0.071410572,0.446835886,0.183068777,0.211009621,0.098532691,0.547820141,0.176132275,0.95175759,-0.2281999,0.144075388
PKIB,0.139547167,0.086879544,-0.080687932,0.667975067,0.478524102,0.001255872,0.083663946,0.95175759,0.008085313,0.968458118
TPST1,0.128709162,0.098690788,0.012884066,0.923859576,0.054604081,0.63732778,0.142344728,0.952000193,-0.004208759,0.980028027
2610020H08RIK,-0.059096787,0.664755563,0.182377217,0.218441083,0.184432596,0.333923333,-0.188700426,0.9521199,-0.258844499,0.025384922
DVL2,-0.01230605,0.811609336,-0.082280988,0.558976635,0.047483763,0.347407263,0.154690017,0.95225309,-0.049630299,0.544848782
MRPL3,0.002181243,0.99127643,-0.223788139,0.003417313,0.053259696,0.842321078,-0.172720244,0.952271346,0.012194123,0.958380664
SLAMF6,-0.007221032,0.941292916,0.159893661,0.075244359,0.016239104,0.931408632,0.13758692,0.952271346,-0.032548696,0.721814463
SURF1,-0.017975274,0.928476417,0.387773399,0.000246378,-0.094214921,0.549055839,-0.206892327,0.952271346,-0.003629441,0.984341771
TRAPPC5,-0.137250404,0.177396573,0.000659602,0.998251323,-0.119728098,0.408708431,-0.157999836,0.952271346,-0.026469702,0.864726105
DNAJA1,-0.052573368,0.844989364,-0.333606997,0.167718621,0.097332095,0.72896677,0.124627156,0.952538113,-0.062067965,0.688661135
CBX8,-0.02462184,0.776685391,-0.045695556,0.855251787,0.030130707,0.719679204,0.367028985,0.952621732,-0.066470559,0.624593655
CHGB,0.00748893,0.940511068,-0.471221471,0.003871444,-0.305523471,0.49312294,-0.166420813,0.952621732,0.071078766,0.889218193
KCNJ6,0.214197904,0.418179196,-0.024578799,0.803953679,-0.056308755,0.831696524,-0.250941922,0.952621732,-0.061432735,0.725694264
NKIRAS2,-0.194824225,0.198200599,0.203998508,0.062256413,-0.011365945,0.972740026,0.457918017,0.952621732,-0.131224078,0.254479047
OLFR1030,-0.074528833,0.623941794,0.027362981,0.889982349,-0.37572374,0.019641643,-0.46841419,0.952621732,-0.192655968,0.027710853
PREB,-0.122014896,0.691177921,-0.245402107,0.062538693,-0.134205203,0.406136833,0.124610697,0.952621732,0.284969183,0.124366527
SMPD2,-0.075080548,0.576547115,-0.027980271,0.862248787,-0.007688024,0.986999615,-0.172455475,0.952621732,-0.34887459,0.074443231
TMEM9,-0.05217004,0.598223626,0.36567196,0.000474885,-0.041586514,0.902790218,-0.189413366,0.952621732,-0.17019365,0.086614252
WDR46,-0.058934781,0.571700368,-0.07329914,0.469910592,-0.103454782,0.654066334,-0.095487148,0.952621732,0.546626971,2.08E-05
ATF3,0.496316485,0.001780986,-0.356262712,0.169483391,0.308562396,0.000961768,-0.119200697,0.952760056,-0.249348082,0.55148869
CTSA,-0.220182509,0.629765129,0.273962662,0.113645484,0.084499285,0.730182969,0.118925812,0.952760056,-0.347777892,0.124366527
RBMX2,0.004512196,0.953145926,0.044219394,0.785360225,0.178559513,0.44838504,-0.19676134,0.952760056,0.154419318,0.336793837
KCTD9,0.175460472,0.092627479,0.054623959,0.702081518,0.112175371,0.544998817,0.156623821,0.952808937,0.018249382,0.926608953
ARHGAP15,0.075071502,0.295741656,-0.29049964,0.206869308,0.132559356,0.289647258,-0.133878604,0.95280903,0.056777845,0.537560105
KLHL7,-0.045123083,0.860705739,0.20194277,0.52417882,-0.349082438,0.003583991,0.109186853,0.95280903,0.191905555,0.290761397
LXN,-0.085291232,0.432423541,0.218380498,0.068743813,0.034544029,0.86216502,0.222888354,0.95280903,-0.057583488,0.594290002
NFAT5,-0.108393325,0.542989185,-0.090616009,0.777071151,-0.092219014,0.740508341,-0.094710329,0.95280903,0.066053833,0.651531836
NOTCH2,0.016221493,0.78908322,-0.529886331,0.000751134,-0.01877685,0.92019149,-0.098360232,0.95280903,0.04155213,0.714299507
PCGF1,-0.034274484,0.834138707,0.264938102,0.050647095,-0.164988127,0.452860499,0.229777776,0.95280903,-0.255092749,0.33068948
PLEKHB2,0.320203126,0.062220411,0.380915687,0.007632473,0.003963892,0.982999914,0.106334141,0.95280903,0.022351018,0.869662037
PLEKHG2,-0.063522069,0.267001341,0.225808476,0.103028612,-0.006864925,0.972740026,-0.173681303,0.95280903,0.728761589,1.63E-06
SLC4A1AP,0.007301716,0.964257963,-0.054020499,0.593275244,0.117988243,0.59301327,0.113226159,0.95280903,0.144215844,0.342887713
TNFRSF26,0.068021701,0.655963798,-0.08576274,0.375105512,0.007579384,0.959752537,-0.180032855,0.95280903,-0.0778596,0.395082126
ZFAND3,-0.510863866,0.020211567,-0.101299745,0.54655131,-0.034946142,0.886723013,0.162652321,0.95280903,0.216261992,0.063272121
H2AFJ,-0.116093436,0.211001686,-7.40E-05,0.999945257,0.018209862,0.929954397,0.177530784,0.952898855,0.036185218,0.79302335
MED28,0.169971445,0.202006597,0.126365457,0.291880696,0.166253998,0.178237828,0.129500425,0.952898855,-0.008176584,0.972672201
CTDSP2,-0.192202637,0.228844187,-0.093071429,0.434591503,-0.05252679,0.803198545,0.116123378,0.952951334,-0.762986492,0.000520375
EHBP1,0.280388682,0.04594279,0.167097065,0.069724516,-0.037751418,0.850030175,-0.133415171,0.952951334,0.128060805,0.17159186
MED30,0.045805944,0.790509035,-0.006346219,0.979957061,-0.047606504,0.915511346,-0.228095089,0.953003109,-0.237997559,0.347031166
MFN1,0.027475844,0.93044894,0.024887605,0.876954283,-0.122023586,0.275312895,-0.100983752,0.953162304,-0.05730545,0.791365023
NTN4,0.032322623,0.849372192,0.008665241,0.948884759,0.111736272,0.469047381,-0.571644773,0.953162304,-0.12413745,0.330370444
TAS1R3,-0.03276466,0.514133547,-0.043230918,0.882785986,0.035696078,0.852326422,-0.10663871,0.953162304,-0.127449441,0.035810625
ZBTB45,-0.008186329,0.947502542,-0.311168167,0.021137745,-0.083686479,0.387587625,-0.32934161,0.953502326,-0.019743,0.825885835
ANK1,-0.068360965,0.630717867,-0.118086797,0.221117096,-0.236635442,0.047586873,-0.191103622,0.953642065,0.038209939,0.604381244
LEMD2,-0.397661137,0.139631567,-0.230078348,0.00233098,-0.147063035,0.347407263,-0.217295339,0.954179113,-0.032312246,0.870062892
TBC1D7,0.175278866,0.643599502,0.052002864,0.730341658,0.109089316,0.810234954,0.230129696,0.954187694,-0.04353014,0.933531383
ZFP623,-0.333119129,0.10573559,-0.218388155,0.054654455,-0.354746328,0.01399403,-0.184983633,0.954187694,-0.234747448,0.253810747
CNR2,0.155222925,0.399610496,0.064741007,0.705184246,0.482588103,0.027749785,0.098019901,0.954242771,-0.412973704,0.026992649
MCRS1,-0.048607952,0.795947263,-0.048710258,0.751821325,0.111761302,0.525371709,-0.203266298,0.954268138,-0.108648298,0.519271647
DDIT4,-0.161150479,0.789709815,1.478859751,0.002222663,0.258518425,0.859335547,-0.259957879,0.954270929,1.908321722,6.45E-05
NDUFB11,0.173047451,0.561778582,0.041043566,0.789281897,0.113404768,0.730182969,-0.138905639,0.954270929,-0.286162194,0.346162807
TCERG1L,-0.026980849,0.587721449,-0.044441696,0.685417561,0.006424446,0.982804413,-0.431007005,0.954482695,0.023985943,0.835514237
GGNBP2,0.171084811,0.325558684,0.099486176,0.482671734,0.049723107,0.806367877,-0.109894892,0.95451616,0.4562547,0.000328752
LUZP2,0.345500535,0.300085123,-0.141752071,0.287007505,-0.097496022,0.536637307,0.247121243,0.954561532,0.099468436,0.414692459
MVD,0.038537523,0.471761303,-0.604959142,0.003179111,-0.013328995,0.889848565,-0.21909006,0.954561532,0.055438816,0.350171264
CPNE5,-0.036562554,0.519849584,0.067297944,0.777371726,-0.011188418,0.944752131,0.239329561,0.954623053,-0.041653306,0.493748118
CEP57,-0.023842145,0.871453251,0.087562098,0.689389032,-0.000347218,0.999108673,0.151406694,0.954778409,-0.064166462,0.638852115
AAMP,-0.17717338,0.390625211,-3.31E-05,0.999945257,-0.106989282,0.458719751,0.130592342,0.954818132,0.074414775,0.591668664
ADAMTS16,-0.235586518,0.133583144,0.041508202,0.890905904,-0.30273141,0.231871232,-0.131143901,0.954818132,-0.961308151,7.64E-06
HECA,0.143114312,0.077112535,-0.057655853,0.748653674,-0.207940044,0.224808733,-0.129208537,0.954818132,-0.428714566,0.000450863
GEMIN7,0.000421118,0.9974163,0.015118143,0.936169973,0.098180284,0.219780231,-0.318873549,0.954855694,0.058711416,0.313207847
METAP1,-0.178388278,0.373384256,-0.056165404,0.678232722,-0.101031759,0.537327387,0.110930529,0.955118717,0.164080471,0.358076286
4931440F15RIK,0.051506938,0.828990959,-0.021526658,0.921850879,-0.143168118,0.590394939,-0.226425249,0.955136974,-0.05046765,0.869539215
8430427H17RIK,-0.066151012,0.820296287,0.319285797,0.010346015,-0.052453158,0.874272783,-0.120748047,0.955136974,-0.074470704,0.394216754
FMO5,-0.088565321,0.504899263,-0.106739813,0.302763845,-0.034531476,0.874474368,-0.115492731,0.955136974,-0.129867996,0.224752463
PAK4,0.004019661,0.976296357,-0.433718951,0.16022811,-0.032149824,0.926562997,0.110483412,0.955136974,0.142912418,0.306573584
SORBS3,-0.024150091,0.686158586,0.149126266,0.082388935,-0.031128874,0.702088145,-0.187998332,0.955233814,0.08881535,0.133504676
CNN1,-0.021365666,0.760725433,0.065752185,0.730556765,0.107843418,0.794801516,0.574441172,0.955253872,-0.192365137,0.540415917
SLC22A5,0.091600353,0.698833114,-0.04362858,0.683631897,-0.168435714,0.334647425,-0.16943741,0.955253872,-0.128504804,0.60981702
PGAM2,-0.050926686,0.640981489,0.048796058,0.602943206,-0.023295435,0.882684573,-0.242027276,0.955348769,-0.009882498,0.92432124
BC068281,-0.148358314,0.421939217,-0.058129981,0.820514085,-0.314819206,0.099540759,0.092250826,0.955531426,0.142133908,0.47265006
GRIN2C,0.200964177,0.507117227,-0.496871456,0.076924296,0.039292171,0.923662266,-0.365923276,0.955589429,-0.435376079,0.256802174
PTPN1,-0.084770868,0.393995195,-0.260715435,0.001805541,0.022234208,0.905366773,0.118911613,0.955651958,2.006240915,4.82E-13
ZFP41,-0.007534985,0.970561312,-0.224636653,0.09108118,-0.02374484,0.923014904,-0.235189572,0.95573206,-0.098833468,0.613989483
DPH5,-0.033996084,0.89062742,0.146111421,0.150316035,0.122527003,0.652444871,-0.097178991,0.955814898,0.39131938,0.081069829
SRP19,-0.106030182,0.557026633,-0.000182863,0.999411602,-0.056162077,0.748016308,0.147008835,0.955814898,0.060517907,0.752871236
SLC16A8,0.07058047,0.535514326,0.354050849,0.060811085,0.011929446,0.957211125,0.440983099,0.955887189,-0.028015298,0.743751028
SPRR1A,-0.061514672,0.665195054,0.031513079,0.816449764,0.009013724,0.973294263,-0.520462212,0.955887189,-0.08108209,0.624593655
SLC25A35,-0.020591678,0.84644112,-0.034018796,0.777045299,0.046787339,0.806367877,-0.235726578,0.955931696,-0.145352462,0.351568116
EPHA7,0.058070168,0.404691487,0.032025675,0.825626571,-0.32547913,0.191920722,-0.103289438,0.956052622,0.00041826,0.99855578
AFG3L2,0.004244896,0.97300496,0.157067093,0.297176541,-0.034890072,0.900372503,0.117984362,0.956093902,0.068351476,0.659397337
CTSO,-0.373347094,0.04673432,-0.024895944,0.909654498,-0.05262997,0.821660494,-0.113393772,0.956093902,-0.359488604,0.001631563
NTRK2,0.010331522,0.950994412,-0.080546209,0.669401167,-0.224148455,0.740984217,-0.088618615,0.956093902,0.122435994,0.546214914
TARDBP,-0.286782727,0.272913849,-0.166572779,0.424548643,-0.238925636,0.225280554,0.105149511,0.956397839,-0.114619161,0.551098906
ZFYVE27,-0.168264384,0.142598542,0.062605853,0.678954521,-0.159919099,0.525371709,0.114339679,0.956419235,0.070676509,0.641785883
ZFP750,0.061821346,0.784620328,0.009305323,0.949956363,0.065973381,0.846543839,-0.207493358,0.956439994,-0.229770401,0.076759732
TLR6,0.074696937,0.749584196,0.147471655,0.543281923,0.259169804,0.255699956,-0.138633244,0.956454104,1.028879527,1.99E-07
ACPL2,0.19538724,0.134514638,-0.254856101,0.635120947,-0.16072589,0.448536942,0.447015722,0.956527742,0.008459605,0.949952982
VPS37A,0.035959625,0.591077388,-0.041437784,0.934770518,-0.236757442,0.079511488,0.096204337,0.956614495,-0.257092119,0.052920115
BTBD11,0.185223865,0.054514429,-0.082920245,0.474402797,-0.083352536,0.161851075,-0.289858881,0.956615594,0.031137635,0.690594044
GSG1,0.05331869,0.876229425,-0.32952318,0.161977555,0.041785977,0.897063067,0.237271021,0.956746398,-0.090013017,0.39400419
NEK9,-0.198156208,0.179032376,-0.194665871,0.080062158,0.030532188,0.834922538,0.115389878,0.956746398,-0.116453909,0.576977434
OLR1,0.132999064,0.082832414,0.36775364,0.028888498,1.303039646,8.43E-12,0.099948979,0.956746398,0.295269979,0.078913793
ABI2,-0.126625077,0.127641756,0.354507184,0.00106334,-0.27882776,0.08837502,-0.089697302,0.956863432,-0.09749484,0.573710263
DRG1,-0.004994451,0.978346332,0.044272817,0.659972466,-0.163056585,0.225280554,0.134741862,0.956863432,0.126852473,0.38920745
MINA,0.000480974,0.997898876,0.194712101,0.020403132,0.071850811,0.6598173,-0.16912061,0.956863432,-0.111798158,0.352603809
NRSN1,0.082696226,0.303481647,-0.682138998,0.000246378,-0.056922745,0.54575186,0.413760917,0.956863432,-0.00224653,0.978672094
OLFR1265,-0.03330167,0.425685714,-0.047386518,0.592410877,-0.028187111,0.828402214,0.521861844,0.956863432,0.045203919,0.512062427
DPAGT1,-0.136672216,0.448440072,-0.060125531,0.579777614,-0.056172877,0.846216893,0.135125251,0.956944777,-0.059417152,0.820320947
CCDC3,0.002344762,0.990545957,-0.001928308,0.990416736,0.103049689,0.647116522,-0.09393721,0.957017963,-0.141341032,0.218818575
ZFP219,-0.223985197,0.404962976,0.012085282,0.94991401,-0.064271924,0.768344055,0.16026114,0.957018828,-0.603712932,0.000469967
CARS,-0.017277485,0.872828736,-0.177639272,0.148852333,-0.016106015,0.949500119,0.165860591,0.957035104,-0.004780608,0.967870176
PMPCA,0.050378499,0.848383346,0.044459609,0.844860037,0.034165823,0.882684573,0.138061874,0.957143339,0.017724587,0.963685148
BCAR1,0.007170057,0.965633036,0.124864741,0.216688243,-0.066335886,0.527932576,-0.219619605,0.957278945,-0.07097351,0.58844483
TTBK2,0.029575998,0.712021177,0.173292693,0.494410641,-0.002489001,0.986999615,-0.09789989,0.957278945,0.024591382,0.78260848
NUP54,-0.02537281,0.623367698,0.207524871,0.006749266,-0.025162821,0.79418797,0.131847734,0.957309568,0.147852229,0.061225224
PPFIA3,-0.008828128,0.952705459,-0.072547193,0.841772248,-0.101133444,0.64256414,0.213381049,0.957309568,0.133666129,0.479438079
WDR34,0.030310834,0.742247021,-0.465979978,0.11695776,-0.069514184,0.44838504,-0.093324155,0.957309568,0.002724109,0.981337546
C2,0.006335989,0.928476417,0.132886357,0.730556765,0.74989006,1.25E-08,-0.385039818,0.957535627,0.003262853,0.971405127
ERO1LB,0.093668879,0.655963798,0.218966353,0.083203511,0.061466928,0.814605953,0.122862852,0.957535627,0.095353825,0.689660868
SPATA5,0.009958635,0.944144123,0.140375219,0.417083173,-0.021477312,0.915270631,-0.130052579,0.957535627,0.003483014,0.983219687
PRKAA2,0.150896877,0.110673629,0.188375512,0.166211156,-0.039664532,0.835138107,0.188285015,0.95756951,0.063489587,0.636850731
TUBB2A,-0.543006216,0.00043243,-0.439985467,5.19E-05,-0.313946111,0.006361809,-0.136646133,0.95756951,-0.926112839,3.39E-09
ELP3,-0.317491711,0.031834036,-0.000658427,0.998038702,-0.140558151,0.289843591,-0.144956717,0.957584596,-0.341807813,0.000697282
ZFP639,-0.18659042,0.019937056,-0.176873132,0.105789195,-0.180157239,0.073674194,-0.171145154,0.957584596,-0.156679879,0.200135214
IER2,0.202201345,0.557144544,0.724815306,0.007126922,0.023030833,0.791423223,-0.137649578,0.957690562,0.103455966,0.637482867
2810007J24RIK,0.016221455,0.6655736,0.188160627,0.461070382,-0.016566558,0.817939735,-0.632530621,0.957729024,0.095106896,0.105899195
PLEKHO1,0.078875358,0.651998639,-0.666206294,6.64E-05,0.000361221,0.99915233,0.127121254,0.957744624,-0.132425813,0.521604785
SMARCA4,0.124147931,0.613095568,-0.114297173,0.106960764,0.165273568,0.211561782,-0.100964463,0.957744624,0.021680464,0.914409294
RNF214,-0.009944167,0.923984515,0.01817281,0.93478699,-0.376880374,0.051473255,-0.120235072,0.95795502,-0.302642952,0.138158369
CCDC93,0.173114477,0.481096636,-0.289561258,0.001793984,0.026798789,0.954816749,0.09717436,0.958012706,-0.446200369,0.12239816
FGG,-0.079154673,0.755525521,-0.063430482,0.843871248,-0.03800917,0.890981228,-0.592257566,0.958012706,-0.055061768,0.714275176
GTF2H4,-0.088373869,0.392436951,-0.071598469,0.513910446,0.104240534,0.516140816,0.347515945,0.958012706,-0.134897448,0.049105639
RASEF,0.2621813,0.39248486,-0.063831141,0.375631828,-0.120991709,0.804728045,0.36820106,0.958012706,-0.117911456,0.751101644
RELA,-0.038253375,0.728240212,0.06927626,0.767574638,-0.009331934,0.980425251,-0.141423306,0.958012706,1.017101732,9.05E-09
SEZ6L2,-0.047456687,0.782958461,0.435509879,0.002281497,-0.080819724,0.563416083,0.202430541,0.958043438,0.044823562,0.786909341
RNF10,-0.327946699,0.097935276,0.1604386,0.23046561,0.056342426,0.847501521,0.137895901,0.958044501,0.44947884,0.001465065
ARHGAP29,-0.370496338,0.000156179,-0.114316456,0.564743105,-0.310891522,0.153713413,-0.15512156,0.958295395,-0.365530881,0.029961771
PFKFB4,0.413568463,0.01268113,-0.571676453,0.000782111,0.185191835,0.055665571,0.129353407,0.958359403,-0.73406251,5.94E-06
RTP3,-0.008635051,0.89062742,-0.034432137,0.865266276,-0.011072857,0.913890621,0.130839164,0.958359403,-0.028324573,0.781668501
SLC46A1,-0.107873446,0.77367606,-0.709075407,4.72E-05,-0.080741887,0.844319534,-0.196660934,0.958359403,-0.353739916,0.052488605
SRPR,-0.013798943,0.947502542,0.10032921,0.447347405,0.031061815,0.903585654,-0.118433999,0.958359403,0.514858277,0.001273742
STRN,-0.03571036,0.739646938,-0.049415874,0.810982124,-0.198719875,0.325002018,0.135704899,0.958359403,-0.397409885,0.036774111
WDR70,-0.19581379,0.445387466,-0.028438586,0.849375632,0.141631904,0.566567032,0.127124584,0.958359403,0.08152844,0.61107124
