ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,
GO:1903531,negative regulation of secretion by cell,Apr-60,204/15833,0.007434883,0.040414304,0.027992933,Apoe/P2ry12/Il1b/Hmox1,4,
GO:0021782,glial cell development,Mar-60,106/15833,0.007569541,0.041042889,0.028428322,Tlr2/Il1b/Id2,3,
GO:0002791,regulation of peptide secretion,Jun-60,460/15833,0.007747607,0.041488938,0.028737277,Apoe/Ccl3/Cd74/Lpl/Tlr2/Il1b,6,
GO:0032620,interleukin-17 production,Feb-60,35/15833,0.0077539,0.041488938,0.028737277,Tlr2/Vsir,2,
GO:2000403,positive regulation of lymphocyte migration,Feb-60,35/15833,0.0077539,0.041488938,0.028737277,Ccl4/Cxcl10,2,
GO:0006638,neutral lipid metabolic process,Mar-60,107/15833,0.00776716,0.041488938,0.028737277,Apoe/Lpl/Apoc1,3,
GO:0007565,female pregnancy,Mar-60,107/15833,0.00776716,0.041488938,0.028737277,Junb/H3f3b/Ctsb,3,
GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,Mar-60,107/15833,0.00776716,0.041488938,0.028737277,Cd74/Ier3/Hmox1,3,
GO:0032609,interferon-gamma production,Mar-60,108/15833,0.007967813,0.042247027,0.029262367,Axl/Vsir/Il1b,3,
GO:0060759,regulation of response to cytokine stimulus,Mar-60,108/15833,0.007967813,0.042247027,0.029262367,Cd74/Axl/Tlr2,3,
GO:2000181,negative regulation of blood vessel morphogenesis,Mar-60,108/15833,0.007967813,0.042247027,0.029262367,Cx3cr1/Cxcl10/Klf2,3,
GO:0014003,oligodendrocyte development,Feb-60,36/15833,0.008190133,0.043108064,0.029858763,Tlr2/Id2,2,
GO:0034105,positive regulation of tissue remodeling,Feb-60,36/15833,0.008190133,0.043108064,0.029858763,Spp1/Klf6,2,
GO:0071158,positive regulation of cell cycle arrest,Feb-60,36/15833,0.008190133,0.043108064,0.029858763,Rpl23/Id2,2,
GO:0001505,regulation of neurotransmitter levels,May-60,331/15833,0.008271703,0.043431475,0.030082773,Tlr2/Cx3cr1/Il1b/Klf2/Hsp90aa1,5,
GO:0097191,extrinsic apoptotic signaling pathway,Apr-60,212/15833,0.00848965,0.044467635,0.030800469,Atf3/Cx3cr1/Il1b/Hmox1,4,
GO:0002708,positive regulation of lymphocyte mediated immunity,Mar-60,111/15833,0.008588082,0.044697932,0.030959984,H2-D1/H2-K1/Il1b,3,
GO:0001914,regulation of T cell mediated cytotoxicity,Feb-60,37/15833,0.008637182,0.044697932,0.030959984,H2-D1/H2-K1,2,
GO:0010883,regulation of lipid storage,Feb-60,37/15833,0.008637182,0.044697932,0.030959984,Nfkbia/Lpl,2,
GO:0031670,cellular response to nutrient,Feb-60,37/15833,0.008637182,0.044697932,0.030959984,Lpl/P2ry12,2,
GO:0051154,negative regulation of striated muscle cell differentiation,Feb-60,37/15833,0.008637182,0.044697932,0.030959984,Tmem119/Cxcl10,2,
GO:0030900,forebrain development,May-60,335/15833,0.008686933,0.044847849,0.031063824,Btg2/Axl/Cx3cr1/P2ry12/Id2,5,
GO:0002824,positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,Mar-60,113/15833,0.009016954,0.046440543,0.032167002,H2-D1/H2-K1/Il1b,3,
GO:0032768,regulation of monooxygenase activity,Feb-60,38/15833,0.009094961,0.046619184,0.032290738,Apoe/Il1b,2,
GO:0048246,macrophage chemotaxis,Feb-60,38/15833,0.009094961,0.046619184,0.032290738,Ccl3/Cx3cr1,2,
GO:0001503,ossification,May-60,339/15833,0.009116448,0.046619184,0.032290738,Spp1/Junb/H3f3b/Tmem119/Id2,5,
GO:0021537,telencephalon development,Apr-60,217/15833,0.00919636,0.046916657,0.032496782,Btg2/Cx3cr1/P2ry12/Id2,4,
GO:0006633,fatty acid biosynthetic process,Mar-60,115/15833,0.009458203,0.048138686,0.033343219,Cd74/Lpl/Il1b,3,
GO:0002369,T cell cytokine production,Feb-60,39/15833,0.009563387,0.048445516,0.033555745,Vsir/Il1b,2,
GO:0030225,macrophage differentiation,Feb-60,39/15833,0.009563387,0.048445516,0.033555745,Tlr2/Id2,2,
GO:1901216,positive regulation of neuron death,Mar-60,116/15833,0.009683492,0.048939052,0.033897593,Ccl3/Fos/Il1b,3,
GO:0032757,positive regulation of interleukin-8 production,Feb-60,40/15833,0.010042375,0.050398709,0.034908622,Tlr2/Il1b,2,
GO:0046782,regulation of viral transcription,Feb-60,40/15833,0.010042375,0.050398709,0.034908622,Ccl4/Zfp36,2,
GO:0048710,regulation of astrocyte differentiation,Feb-60,40/15833,0.010042375,0.050398709,0.034908622,Il1b/Id2,2,
GO:0050663,cytokine secretion,Apr-60,223/15833,0.01009392,0.05053986,0.035006391,Ccl3/Lpl/Tlr2/Il1b,4,
GO:0072330,monocarboxylic acid biosynthetic process,Apr-60,224/15833,0.010248848,0.051196792,0.035461414,Cd74/Lpl/Ier3/Il1b,4,
GO:1901343,negative regulation of vasculature development,Mar-60,119/15833,0.010378117,0.051722812,0.035825761,Cx3cr1/Cxcl10/Klf2,3,
GO:0006509,membrane protein ectodomain proteolysis,Feb-60,41/15833,0.01053184,0.051771549,0.035859519,Apoe/Il1b,2,
GO:0045124,regulation of bone resorption,Feb-60,41/15833,0.01053184,0.051771549,0.035859519,Spp1/Tmem119,2,
GO:0060135,maternal process involved in female pregnancy,Feb-60,41/15833,0.01053184,0.051771549,0.035859519,Junb/Ctsb,2,
GO:1900077,negative regulation of cellular response to insulin stimulus,Feb-60,41/15833,0.01053184,0.051771549,0.035859519,Lpl/Il1b,2,
GO:1902041,regulation of extrinsic apoptotic signaling pathway via death domain receptors,Feb-60,41/15833,0.01053184,0.051771549,0.035859519,Atf3/Hmox1,2,
GO:1902622,regulation of neutrophil migration,Feb-60,41/15833,0.01053184,0.051771549,0.035859519,Cd74/Il1b,2,
GO:0010721,negative regulation of cell development,May-60,353/15833,0.01073565,0.052653482,0.036470389,Apoe/H2-D1/H2-K1/Il1b/Id2,5,
GO:0001961,positive regulation of cytokine-mediated signaling pathway,Feb-60,42/15833,0.011031699,0.05398278,0.037391126,Cd74/Axl,2,
GO:0030218,erythrocyte differentiation,Mar-60,122/15833,0.011101054,0.054199262,0.037541072,Zfp36/Id2/Klf2,3,
GO:0045598,regulation of fat cell differentiation,Mar-60,123/15833,0.011348359,0.055281625,0.03829077,Lpl/Zfp36/Id2,3,
GO:0019083,viral transcription,Feb-60,43/15833,0.011541869,0.055721146,0.038595204,Ccl4/Zfp36,2,
GO:0046503,glycerolipid catabolic process,Feb-60,43/15833,0.011541869,0.055721146,0.038595204,Apoe/Lpl,2,
GO:1902930,regulation of alcohol biosynthetic process,Feb-60,43/15833,0.011541869,0.055721146,0.038595204,Apoe/Il1b,2,
GO:2001239,regulation of extrinsic apoptotic signaling pathway in absence of ligand,Feb-60,43/15833,0.011541869,0.055721146,0.038595204,Cx3cr1/Il1b,2,
GO:0071407,cellular response to organic cyclic compound,May-60,360/15833,0.011615053,0.055949294,0.038753231,Spp1/Nfkbia/Zfp36/P2ry12/Il1b,5,
GO:0034341,response to interferon-gamma,Mar-60,125/15833,0.011852505,0.056839344,0.039369723,Ccl3/Ccl4/Tlr2,3,
GO:0051092,positive regulation of NF-kappaB transcription factor activity,Mar-60,125/15833,0.011852505,0.056839344,0.039369723,Tlr2/Cx3cr1/Il1b,3,
GO:0008202,steroid metabolic process,Apr-60,235/15833,0.012055914,0.057686613,0.039956583,Apoe/Spp1/Apoc1/Il1b,4,
GO:0035966,response to topologically incorrect protein,Mar-60,126/15833,0.012109358,0.057814146,0.040044918,Atf3/Ppp1r15a/Hsp90aa1,3,
GO:0022407,regulation of cell-cell adhesion,May-60,364/15833,0.012139103,0.057828222,0.040054668,Cd74/Cd83/Vsir/Il1b/Hsp90aa1,5,
GO:0051353,positive regulation of oxidoreductase activity,Feb-60,45/15833,0.012592811,0.059594927,0.041278375,Apoe/Il1b,2,
GO:0071675,regulation of mononuclear cell migration,Feb-60,45/15833,0.012592811,0.059594927,0.041278375,Dusp1/Cxcl10,2,
GO:0072604,interleukin-6 secretion,Feb-60,45/15833,0.012592811,0.059594927,0.041278375,Lpl/Il1b,2,
GO:0044706,multi-multicellular organism process,Mar-60,128/15833,0.012632657,0.059652677,0.041318376,Junb/H3f3b/Ctsb,3,
GO:0002250,adaptive immune response,May-60,369/15833,0.012816598,0.060389122,0.041828474,Cd74/H2-D1/H2-K1/Vsir/Il1b,5,
GO:0009612,response to mechanical stimulus,Mar-60,129/15833,0.012899115,0.060645514,0.042006063,Nfkbia/Fos/Junb,3,
GO:0030336,negative regulation of cell migration,Apr-60,240/15833,0.012940884,0.060709624,0.042050468,Apoe/Dusp1/Cd63/Cx3cr1,4,
GO:0006979,response to oxidative stress,May-60,371/15833,0.01309466,0.060819572,0.042126624,Apoe/Fos/Axl/Cst3/Hmox1,5,
GO:0051403,stress-activated MAPK cascade,Apr-60,241/15833,0.013122735,0.060819572,0.042126624,Dusp1/Gadd45b/Zfp36/Il1b,4,
GO:0000288,nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay,Feb-60,46/15833,0.01313342,0.060819572,0.042126624,Btg2/Zfp36,2
GO:0048713,regulation of oligodendrocyte differentiation,Feb-60,46/15833,0.01313342,0.060819572,0.042126624,Tlr2/Id2,2,
GO:0061014,positive regulation of mRNA catabolic process,Feb-60,46/15833,0.01313342,0.060819572,0.042126624,Btg2/Zfp36,2,
GO:0070542,response to fatty acid,Feb-60,46/15833,0.01313342,0.060819572,0.042126624,Lpl/Tlr2,2,
GO:0006959,humoral immune response,Mar-60,130/15833,0.013168788,0.060852771,0.042149619,Cxcl2/Il1b/Cxcl10,3,
GO:0016042,lipid catabolic process,Apr-60,243/15833,0.013491335,0.062210045,0.043089734,Apoe/Spp1/Lpl/Il1b,4,
GO:0019730,antimicrobial humoral response,Feb-60,47/15833,0.013684012,0.062563768,0.04333474,Cxcl2/Cxcl10,2,
GO:0035176,social behavior,Feb-60,47/15833,0.013684012,0.062563768,0.04333474,Cx3cr1/Il1b,2,
GO:0045646,regulation of erythrocyte differentiation,Feb-60,47/15833,0.013684012,0.062563768,0.04333474,Zfp36/Id2,2,
GO:0051703,intraspecies interaction between organisms,Feb-60,47/15833,0.013684012,0.062563768,0.04333474,Cx3cr1/Il1b,2,
GO:0007596,blood coagulation,Mar-60,132/15833,0.013717796,0.062585633,0.043349885,Apoe/Axl/P2ry12,3,
GO:0007613,memory,Mar-60,133/15833,0.013997143,0.06372539,0.044139336,Apoe/Cx3cr1/Il1b,3,
GO:0031663,lipopolysaccharide-mediated signaling pathway,Feb-60,48/15833,0.014244507,0.06446788,0.044653622,Nfkbia/Il1b,2,
GO:0071622,regulation of granulocyte chemotaxis,Feb-60,48/15833,0.014244507,0.06446788,0.044653622,Cd74/Il1b,2,
GO:0007599,hemostasis,Mar-60,134/15833,0.014279725,0.06446788,0.044653622,Apoe/Axl/P2ry12,3,
GO:0050817,coagulation,Mar-60,134/15833,0.014279725,0.06446788,0.044653622,Apoe/Axl/P2ry12,3,
GO:0033619,membrane protein proteolysis,Feb-60,49/15833,0.014814824,0.066466506,0.046037968,Apoe/Il1b,2,
GO:0043392,negative regulation of DNA binding,Feb-60,49/15833,0.014814824,0.066466506,0.046037968,Id2/Hmox1,2,
GO:0046850,regulation of bone remodeling,Feb-60,49/15833,0.014814824,0.066466506,0.046037968,Spp1/Tmem119,2,
GO:2000146,negative regulation of cell motility,Apr-60,251/15833,0.015031746,0.067299807,0.046615153,Apoe/Dusp1/Cd63/Cx3cr1,4,
GO:0034249,negative regulation of cellular amide metabolic process,Mar-60,141/15833,0.016348765,0.073044794,0.050594414,Apoe/Btg2/Zfp36,3,
GO:0002704,negative regulation of leukocyte mediated immunity,Feb-60,52/15833,0.01658391,0.073486812,0.050900577,Vsir/Hmox1,2,
GO:0045620,negative regulation of lymphocyte differentiation,Feb-60,52/15833,0.01658391,0.073486812,0.050900577,Cd74/Id2,2,
GO:0097006,regulation of plasma lipoprotein particle levels,Feb-60,52/15833,0.01658391,0.073486812,0.050900577,Apoe/Lpl,2,
GO:1900271,regulation of long-term synaptic potentiation,Feb-60,52/15833,0.01658391,0.073486812,0.050900577,Apoe/Cx3cr1,2,
GO:0021543,pallium development,Mar-60,142/15833,0.016657386,0.073661147,0.05102133,Btg2/Cx3cr1/P2ry12,3,
GO:0098542,defense response to other organism,May-60,395/15833,0.016756644,0.073948543,0.051220394,Lyz2/H2-K1/Tlr2/Il1b/Cxcl10,5,
GO:0002705,positive regulation of leukocyte mediated immunity,Mar-60,143/15833,0.016969279,0.074581883,0.051659077,H2-D1/H2-K1/Il1b,3,
GO:0002792,negative regulation of peptide secretion,Mar-60,143/15833,0.016969279,0.074581883,0.051659077,Apoe/Cd74/Il1b,3,
GO:0001913,T cell mediated cytotoxicity,Feb-60,53/15833,0.017192721,0.074953316,0.05191635,H2-D1/H2-K1,2,
GO:0021795,cerebral cortex cell migration,Feb-60,53/15833,0.017192721,0.074953316,0.05191635,Cx3cr1/P2ry12,2,
GO:0051148,negative regulation of muscle cell differentiation,Feb-60,53/15833,0.017192721,0.074953316,0.05191635,Tmem119/Cxcl10,2,
GO:2000107,negative regulation of leukocyte apoptotic process,Feb-60,53/15833,0.017192721,0.074953316,0.05191635,Cd74/Axl,2,
GO:0021700,developmental maturation,Apr-60,264/15833,0.017764932,0.076998608,0.053333019,Cd63/Cx3cr1/Id2/Klf2,4,
GO:0045088,regulation of innate immune response,Apr-60,264/15833,0.017764932,0.076998608,0.053333019,Apoe/Cd74/Nfkbia/Tlr2,4,
GO:0008015,blood circulation,May-60,401/15833,0.017768909,0.076998608,0.053333019,Apoe/Ccl4/Ier3/Id2/Hmox1,5,
GO:2000401,regulation of lymphocyte migration,Feb-60,54/15833,0.017810959,0.07702615,0.053352097,Ccl4/Cxcl10,2,
GO:0043433,negative regulation of DNA-binding transcription factor activity,Mar-60,146/15833,0.017924618,0.077362653,0.053585175,Nfkbia/Id2/Hmox1,3,
GO:0050714,positive regulation of protein secretion,Apr-60,265/15833,0.017987192,0.077477763,0.053664906,Ccl3/Lpl/Tlr2/Il1b,4,
GO:0071900,regulation of protein serine/threonine kinase activity,May-60,403/15833,0.018115184,0.07787364,0.05393911,Apoe/Cd74/Dusp1/Gadd45b/Il1b,5,
GO:0032677,regulation of interleukin-8 production,Feb-60,55/15833,0.018438546,0.079106129,0.054792792,Tlr2/Il1b,2,
GO:0019080,viral gene expression,Feb-60,56/15833,0.019075406,0.081676044,0.056572842,Ccl4/Zfp36,2,
GO:0003013,circulatory system process,May-60,410/15833,0.019362442,0.082740891,0.057310407,Apoe/Ccl4/Ier3/Id2/Hmox1,5,
GO:0010830,regulation of myotube differentiation,Feb-60,57/15833,0.019721461,0.083612796,0.057914332,Tmem119/Cxcl10,2,
GO:0032720,negative regulation of tumor necrosis factor production,Feb-60,57/15833,0.019721461,0.083612796,0.057914332,Axl/Vsir,2,
GO:0055081,anion homeostasis,Feb-60,57/15833,0.019721461,0.083612796,0.057914332,Apoe/Ckb,2,
GO:1903793,positive regulation of anion transport,Feb-60,57/15833,0.019721461,0.083612796,0.057914332,Apoe/Il1b,2,
GO:0031098,stress-activated protein kinase signaling cascade,Apr-60,273/15833,0.019828089,0.083900032,0.058113285,Dusp1/Gadd45b/Zfp36/Il1b,4,
GO:0008217,regulation of blood pressure,Mar-60,152/15833,0.019924,0.084140883,0.05828011,Ier3/Id2/Hmox1,3,
GO:0009611,response to wounding,May-60,414/15833,0.02010007,0.084718656,0.058680304,Apoe/Axl/Zfp36/P2ry12/Hmox1,5,
GO:0008347,glial cell migration,Feb-60,58/15833,0.020376636,0.085218565,0.059026566,Ccl3/P2ry12,2,
GO:0033559,unsaturated fatty acid metabolic process,Feb-60,58/15833,0.020376636,0.085218565,0.059026566,Cd74/Il1b,2,
GO:0071156,regulation of cell cycle arrest,Feb-60,58/15833,0.020376636,0.085218565,0.059026566,Rpl23/Id2,2,
GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,Feb-60,58/15833,0.020376636,0.085218565,0.059026566,Axl/Vsir,2,
GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,Mar-60,154/15833,0.020616802,0.086056205,0.059606756,Cd74/Cx3cr1/Il1b,3,
GO:1903532,positive regulation of secretion by cell,May-60,418/15833,0.020856025,0.086886683,0.060181986,Spp1/Ccl3/Lpl/Tlr2/Il1b,5,
GO:0030968,endoplasmic reticulum unfolded protein response,Feb-60,59/15833,0.021040853,0.087487786,0.06059834,Atf3/Ppp1r15a,2,
GO:0032637,interleukin-8 production,Feb-60,60/15833,0.021714038,0.089767997,0.062177726,Tlr2/Il1b,2,
GO:0034605,cellular response to heat,Feb-60,60/15833,0.021714038,0.089767997,0.062177726,Hmox1/Hsp90aa1,2,
GO:0045123,cellular extravasation,Feb-60,60/15833,0.021714038,0.089767997,0.062177726,Cx3cr1/Selplg,2,
GO:0001912,positive regulation of leukocyte mediated cytotoxicity,Feb-60,61/15833,0.022396116,0.091301974,0.063240234,H2-D1/H2-K1,2,
GO:0015918,sterol transport,Feb-60,61/15833,0.022396116,0.091301974,0.063240234,Apoe/Nfkbia,2,
GO:0030032,lamellipodium assembly,Feb-60,61/15833,0.022396116,0.091301974,0.063240234,P2ry12/Hsp90aa1,2,
GO:0030301,cholesterol transport,Feb-60,61/15833,0.022396116,0.091301974,0.063240234,Apoe/Nfkbia,2,
GO:2000514,regulation of CD4-positive, alpha-beta T cell activation,Feb-60,61/15833,0.022396116,0.091301974,0.063240234,Cd83/Vsir,2
GO:0043901,negative regulation of multi-organism process,Mar-60,159/15833,0.022406531,0.091301974,0.063240234,Ccl4/Zfp36/Tlr2,3,
GO:0043902,positive regulation of multi-organism process,Mar-60,159/15833,0.022406531,0.091301974,0.063240234,Apoe/Cd74/Tlr2,3,
GO:0071417,cellular response to organonitrogen compound,May-60,426/15833,0.022423562,0.091301974,0.063240234,Lpl/Rpl23/Tlr2/P2ry12/Il1b,5,
GO:0051271,negative regulation of cellular component movement,Apr-60,284/15833,0.022544119,0.091619978,0.063460499,Apoe/Dusp1/Cd63/Cx3cr1,4,
GO:0050708,regulation of protein secretion,May-60,427/15833,0.022624767,0.0917749,0.063567806,Apoe/Ccl3/Lpl/Tlr2/Il1b,5,
GO:0045453,bone resorption,Feb-60,62/15833,0.023087011,0.093299195,0.064623607,Spp1/Tmem119,2,
GO:0051705,multi-organism behavior,Feb-60,62/15833,0.023087011,0.093299195,0.064623607,Cx3cr1/Il1b,2,
GO:0002793,positive regulation of peptide secretion,Apr-60,290/15833,0.024117135,0.097279959,0.06738088,Ccl3/Lpl/Tlr2/Il1b,4,
GO:0007519,skeletal muscle tissue development,Mar-60,164/15833,0.024278785,0.097749286,0.067705959,Atf3/Fos/Btg2,3,
GO:0010633,negative regulation of epithelial cell migration,Feb-60,64/15833,0.024494959,0.098435982,0.068181598,Apoe/Cd63,2,
GO:0042110,T cell activation,May-60,438/15833,0.024916249,0.099942872,0.069225344,Cd74/Cd83/Vsir/Il1b/Hsp90aa1,5,
GO:0010977,negative regulation of neuron projection development,Mar-60,166/15833,0.025050795,0.100013243,0.069274087,Apoe/H2-D1/H2-K1,3,
GO:0045766,positive regulation of angiogenesis,Mar-60,166/15833,0.025050795,0.100013243,0.069274087,Cx3cr1/Il1b/Hmox1,3,
GO:0016239,positive regulation of macroautophagy,Feb-60,65/15833,0.025211865,0.100013243,0.069274087,Tlr2/Hmox1,2,
GO:0042108,positive regulation of cytokine biosynthetic process,Feb-60,65/15833,0.025211865,0.100013243,0.069274087,Tlr2/Il1b,2,
GO:0050810,regulation of steroid biosynthetic process,Feb-60,65/15833,0.025211865,0.100013243,0.069274087,Apoe/Il1b,2,
GO:0051851,modification by host of symbiont morphology or physiology,Feb-60,65/15833,0.025211865,0.100013243,0.069274087,Apoe/Ccl4,2,
GO:0051047,positive regulation of secretion,May-60,441/15833,0.025566324,0.101233262,0.070119132,Spp1/Ccl3/Lpl/Tlr2/Il1b,5,
GO:0022029,telencephalon cell migration,Feb-60,66/15833,0.025937294,0.102326653,0.070876468,Cx3cr1/P2ry12,2,
GO:1903670,regulation of sprouting angiogenesis,Feb-60,66/15833,0.025937294,0.102326653,0.070876468,Klf2/Hmox1,2,
GO:0009636,response to toxic substance,Apr-60,297/15833,0.02603502,0.102524767,0.071013692,Ccl4/Mt1/Axl/Hmox1,4,
GO:0040013,negative regulation of locomotion,Apr-60,298/15833,0.02631632,0.103443751,0.071650225,Apoe/Dusp1/Cd63/Cx3cr1,4,
GO:0060538,skeletal muscle organ development,Mar-60,170/15833,0.026634408,0.104458061,0.072352786,Atf3/Fos/Btg2,3,
GO:0045670,regulation of osteoclast differentiation,Feb-60,67/15833,0.026671173,0.104458061,0.072352786,Ccl3/Fos,2,
GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,Feb-60,68/15833,0.027413432,0.106399614,0.073697601,Atf3/Hmox1,2,
GO:0015908,fatty acid transport,Feb-60,68/15833,0.027413432,0.106399614,0.073697601,Apoe/Il1b,2,
GO:0042632,cholesterol homeostasis,Feb-60,68/15833,0.027413432,0.106399614,0.073697601,Apoe/Lpl,2,
GO:0050830,defense response to Gram-positive bacterium,Feb-60,68/15833,0.027413432,0.106399614,0.073697601,Lyz2/Tlr2,2,
GO:1901796,regulation of signal transduction by p53 class mediator,Feb-60,68/15833,0.027413432,0.106399614,0.073697601,Cd74/Rpl23,2,
GO:0030101,natural killer cell activation,Feb-60,69/15833,0.028163997,0.108920977,0.075444021,Axl/Id2,2,
GO:0055092,sterol homeostasis,Feb-60,69/15833,0.028163997,0.108920977,0.075444021,Apoe/Lpl,2,
GO:0031669,cellular response to nutrient levels,Mar-60,174/15833,0.028270752,0.108963449,0.075473439,Atf3/Lpl/P2ry12,3,
GO:0032870,cellular response to hormone stimulus,May-60,453/15833,0.028275965,0.108963449,0.075473439,Spp1/Junb/Lpl/Zfp36/Il1b,5,
GO:0051702,interaction with symbiont,Feb-60,70/15833,0.028922798,0.110665598,0.076652431,Apoe/Ccl4,2,
GO:0070373,negative regulation of ERK1 and ERK2 cascade,Feb-60,70/15833,0.028922798,0.110665598,0.076652431,Atf3/Dusp1,2,
GO:0070613,regulation of protein processing,Feb-60,70/15833,0.028922798,0.110665598,0.076652431,Cst7/Il1b,2,
GO:0071347,cellular response to interleukin-1,Feb-60,70/15833,0.028922798,0.110665598,0.076652431,Ccl3/Ccl4,2,
GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,Feb-60,71/15833,0.029689763,0.112601949,0.077993643,Cx3cr1/P2ry12,2,
GO:0031343,positive regulation of cell killing,Feb-60,71/15833,0.029689763,0.112601949,0.077993643,H2-D1/H2-K1,2,
GO:0061515,myeloid cell development,Feb-60,71/15833,0.029689763,0.112601949,0.077993643,Tlr2/Klf2,2,
GO:0071277,cellular response to calcium ion,Feb-60,71/15833,0.029689763,0.112601949,0.077993643,Fos/Junb,2,
GO:1901224,positive regulation of NIK/NF-kappaB signaling,Feb-60,71/15833,0.029689763,0.112601949,0.077993643,Tlr2/Il1b,2,
GO:0042060,wound healing,Apr-60,310/15833,0.029835769,0.112957174,0.078239689,Apoe/Axl/P2ry12/Hmox1,4,
GO:1903317,regulation of protein maturation,Feb-60,72/15833,0.030464823,0.115136756,0.079749375,Cst7/Il1b,2,
GO:0038034,signal transduction in absence of ligand,Feb-60,74/15833,0.032038944,0.120663248,0.083577295,Cx3cr1/Il1b,2,
GO:0097192,extrinsic apoptotic signaling pathway in absence of ligand,Feb-60,74/15833,0.032038944,0.120663248,0.083577295,Cx3cr1/Il1b,2,
GO:0001525,angiogenesis,May-60,470/15833,0.032419146,0.121882432,0.084421762,Cx3cr1/Il1b/Cxcl10/Klf2/Hmox1,5,
GO:1904018,positive regulation of vasculature development,Mar-60,184/15833,0.032591573,0.122317589,0.084723173,Cx3cr1/Il1b/Hmox1,3,
GO:0051345,positive regulation of hydrolase activity,May-60,471/15833,0.03267414,0.122414572,0.084790348,Ccl3/Ccl4/Ppp1r15a/Vsir/Rgs1,5,
GO:0051341,regulation of oxidoreductase activity,Feb-60,75/15833,0.032837867,0.12281476,0.085067538,Apoe/Il1b,2,
GO:0042742,defense response to bacterium,Mar-60,186/15833,0.033495003,0.125055738,0.086619749,Lyz2/H2-K1/Tlr2,3,
GO:0034620,cellular response to unfolded protein,Feb-60,76/15833,0.033644605,0.125397337,0.086856358,Atf3/Ppp1r15a,2,
GO:1901699,cellular response to nitrogen compound,May-60,477/15833,0.034230688,0.127361765,0.088217017,Lpl/Rpl23/Tlr2/P2ry12/Il1b,5,
GO:0043525,positive regulation of neuron apoptotic process,Feb-60,77/15833,0.034459091,0.127990911,0.088652794,Ccl3/Il1b,2,
GO:0097581,lamellipodium organization,Feb-60,78/15833,0.035281257,0.130816014,0.090609599,P2ry12/Hsp90aa1,2,
GO:0000302,response to reactive oxygen species,Mar-60,190/15833,0.035340934,0.130816014,0.090609599,Fos/Axl/Hmox1,3,
GO:0002275,myeloid cell activation involved in immune response,Feb-60,79/15833,0.036111033,0.131405989,0.091018245,Cx3cr1/Hmox1,2,
GO:0048524,positive regulation of viral process,Feb-60,79/15833,0.036111033,0.131405989,0.091018245,Apoe/Cd74,2,
GO:0071774,response to fibroblast growth factor,Feb-60,79/15833,0.036111033,0.131405989,0.091018245,Ier2/Zfp36,2,
GO:1900076,regulation of cellular response to insulin stimulus,Feb-60,79/15833,0.036111033,0.131405989,0.091018245,Lpl/Il1b,2,
GO:1903313,positive regulation of mRNA metabolic process,Feb-60,79/15833,0.036111033,0.131405989,0.091018245,Btg2/Zfp36,2,
GO:0001910,regulation of leukocyte mediated cytotoxicity,Feb-60,80/15833,0.036948354,0.131405989,0.091018245,H2-D1/H2-K1,2,
GO:0003149,membranous septum morphogenesis,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Id2,1,
GO:0031392,regulation of prostaglandin biosynthetic process,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Il1b,1,
GO:0031620,regulation of fever generation,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Il1b,1,
GO:0032725,positive regulation of granulocyte macrophage colony-stimulating factor production,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Il1b,1,
GO:0032799,low-density lipoprotein receptor particle metabolic process,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Apoe,1,
GO:0033080,immature T cell proliferation in thymus,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Il1b,1,
GO:0035646,endosome to melanosome transport,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Cd63,1,
GO:0035744,T-helper 1 cell cytokine production,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Il1b,1,
GO:0043031,negative regulation of macrophage activation,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Cst7,1,
GO:0043301,negative regulation of leukocyte degranulation,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Hmox1,1,
GO:0043485,endosome to pigment granule transport,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Cd63,1,
GO:0043922,negative regulation by host of viral transcription,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Ccl4,1,
GO:0048757,pigment granule maturation,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Cd63,1,
GO:0070391,response to lipoteichoic acid,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Tlr2,1,
GO:0071223,cellular response to lipoteichoic acid,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Tlr2,1,
GO:0071294,cellular response to zinc ion,Jan-60,10/15833,0.037266203,0.131405989,0.091018245,Mt1,1,
