	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Hexb.1	0	-1.53325304913802	0.596	0.997	0	6	Hexb
Hspa1a.3	0	-1.54500778462401	0.438	0.866	0	6	Hspa1a
C1qa.1	0	-1.55168100426604	0.574	0.996	0	6	C1qa
Tmsb4x.1	0	-1.56882767054113	0.668	0.998	0	6	Tmsb4x
Cst3.2	0	-1.59729604876385	0.939	1	0	6	Cst3
Ctsd.2	0	-1.598195786685	0.647	0.997	0	6	Ctsd
Apoe.4	0	-1.77270108861912	0.555	0.919	0	6	Apoe
Tecr	4.60675545654657e-308	-0.312767319353961	0.117	0.416	8.88366722240442e-304	6	Tecr
Ndufa13	7.20622155463728e-307	-0.325244047649308	0.131	0.429	1.38964776459625e-302	6	Ndufa13
Serbp1	4.0387256948773e-306	-0.3133829111449	0.11	0.407	7.78827863000138e-302	6	Serbp1
Sox4	1.06807686805164e-305	-0.569822279912251	0.12	0.427	2.05967943235078e-301	6	Sox4
Arhgap17	1.63315787603593e-305	-0.333573533190767	0.13	0.428	3.1493816481477e-301	6	Arhgap17
Myl12b	1.71493806401678e-305	-0.31319891054813	0.108	0.404	3.30708656264996e-301	6	Myl12b
Glmp	5.37018847649441e-305	-0.307072794969681	0.095	0.388	1.03558714580718e-300	6	Glmp
Ncf2	1.48868908547583e-303	-0.331898886302755	0.114	0.41	2.87078803243159e-299	6	Ncf2
Nktr	2.50835488026908e-303	-0.371981355688111	0.116	0.414	4.8371115511109e-299	6	Nktr
Ivns1abp	4.03063514539249e-300	-0.321836046695939	0.12	0.415	7.77267681437487e-296	6	Ivns1abp
Scoc	1.87382825522008e-299	-0.332911732645553	0.127	0.421	3.6134904073664e-295	6	Scoc
Eef1g	1.83577445349552e-298	-0.308746239315593	0.092	0.381	3.54010745612076e-294	6	Eef1g
Selenos	1.70464983501505e-297	-0.306729798694732	0.117	0.409	3.28724674184302e-293	6	Selenos
Fuca1	2.46457178394221e-297	-0.318452863191089	0.106	0.397	4.75268022815417e-293	6	Fuca1
Srsf11	6.39875839606795e-297	-0.308523625776843	0.12	0.413	1.23393656909774e-292	6	Srsf11
Bcap31	2.866250035808e-295	-0.301728948596053	0.109	0.398	5.52727656905215e-291	6	Bcap31
Ptpn1	6.65780619357353e-295	-0.316386970717737	0.112	0.403	1.28389134636872e-290	6	Ptpn1
Csnk1e	6.9116559626366e-295	-0.307630995193916	0.103	0.393	1.33284373583484e-290	6	Csnk1e
Cltc	2.72531039801503e-294	-0.329290902287605	0.127	0.419	5.25548857153218e-290	6	Cltc
Fgd2	1.22944804624474e-293	-0.31113228510173	0.119	0.41	2.37086761237836e-289	6	Fgd2
Srsf5	2.80434332092762e-293	-0.327310703502623	0.117	0.407	5.40789566007683e-289	6	Srsf5
Ophn1	1.11071510748947e-292	-0.3150812223385	0.111	0.4	2.14190301328269e-288	6	Ophn1
Itgam	3.56460735381838e-292	-0.312481875339643	0.103	0.391	6.87398882110337e-288	6	Itgam
H2-DMa	4.83834285018776e-291	-0.328141903704658	0.121	0.409	9.33026035230208e-287	6	H2-DMa
Adamts1.3	1.25066837091055e-290	-0.759326748850951	0.127	0.416	2.4117888864639e-286	6	Adamts1
Actr3	4.76471926314279e-290	-0.300651907442928	0.103	0.391	9.18828462704455e-286	6	Actr3
Pebp1	7.16428405739294e-290	-0.305008723487364	0.113	0.401	1.38156053762765e-285	6	Pebp1
Hint1	7.79382363358866e-290	-0.309137088161759	0.119	0.406	1.50296094950124e-285	6	Hint1
Atp5h	2.86023724625994e-289	-0.325314891572868	0.184	0.473	5.51568150568767e-285	6	Atp5h
Ptp4a2	5.35135570881291e-289	-0.310607638588183	0.113	0.401	1.03195543488748e-284	6	Ptp4a2
Cnbp	7.95972289523639e-289	-0.304012261966011	0.121	0.409	1.53495296311739e-284	6	Cnbp
Ppfia4	1.59280251056855e-288	-0.309903093923881	0.112	0.398	3.07156036138038e-284	6	Ppfia4
Os9	1.556160003349e-287	-0.297303705600153	0.104	0.389	3.00089895045821e-283	6	Os9
Arl4c	4.29570388975863e-287	-0.345058579772193	0.107	0.393	8.28383538101055e-283	6	Arl4c
Tcf4	5.17485179809647e-287	-0.325752165258111	0.12	0.406	9.97918420744924e-283	6	Tcf4
Lrp1	1.84844151785261e-286	-0.320557475786221	0.129	0.415	3.56453462302697e-282	6	Lrp1
Tpst2	1.9729415794055e-286	-0.303262348660798	0.108	0.392	3.80462054172558e-282	6	Tpst2
Tubb5	2.32743857814226e-286	-0.308546999728887	0.099	0.382	4.48823255408953e-282	6	Tubb5
F11r	2.76202569247116e-286	-0.3099042077409	0.122	0.41	5.32629034536138e-282	6	F11r
Atp5d	1.28641704811408e-285	-0.299594745535094	0.116	0.4	2.4807266355832e-281	6	Atp5d
Orai1	4.79468559575974e-285	-0.299182497075471	0.11	0.395	9.24607170286308e-281	6	Orai1
Rtn3	7.22956393205758e-285	-0.293116236884527	0.1	0.383	1.39414910865798e-280	6	Rtn3
Hnrnpu	8.49109939900171e-285	-0.300363051271377	0.105	0.389	1.63742360810349e-280	6	Hnrnpu
Atp5j2	9.40799316190552e-285	-0.3002358818871	0.117	0.402	1.81423740134186e-280	6	Atp5j2
Rpl22l1	9.52235440576194e-285	-0.319569834089018	0.092	0.374	1.83629082360713e-280	6	Rpl22l1
Tnfaip8l2	2.88561218693547e-284	-0.303429984832473	0.102	0.384	5.56461454128636e-280	6	Tnfaip8l2
Tuba1b	9.6026600537029e-284	-0.312212590871192	0.111	0.395	1.85177696475607e-279	6	Tuba1b
Ntpcr	3.77927547245234e-283	-0.302312013091936	0.104	0.386	7.28795482107709e-279	6	Ntpcr
Ankrd11	2.55104223983617e-280	-0.311388339022041	0.11	0.391	4.91942985530007e-276	6	Ankrd11
Frmd4b	3.64734508567171e-280	-0.310684636491312	0.119	0.402	7.03354026320933e-276	6	Frmd4b
Cadm1.1	6.05660288798752e-280	-0.318308445140958	0.094	0.372	1.16795530091951e-275	6	Cadm1
Sec61g	8.33828216145497e-280	0.393285281721867	0.661	0.438	1.60795433201498e-275	6	Sec61g
Chd7	2.32855947047413e-279	-0.323495612590521	0.113	0.394	4.49039408286231e-275	6	Chd7
Atraid	2.7971162828688e-279	-0.290544257433691	0.114	0.396	5.39395903988419e-275	6	Atraid
Srsf3	1.66833030586145e-278	-0.308499704112281	0.107	0.387	3.21720816182323e-274	6	Srsf3
Ndufa4	5.97533892474869e-278	-0.304455656659183	0.121	0.401	1.15228435824854e-273	6	Ndufa4
Rcsd1	1.10345274773622e-277	-0.309600220331984	0.113	0.394	2.12789827873453e-273	6	Rcsd1
Pde3b	2.99265114640321e-277	-0.308189755667499	0.12	0.4	5.77102847072394e-273	6	Pde3b
Nav2	3.3705516473684e-277	-0.315969332985547	0.124	0.406	6.49977179678522e-273	6	Nav2
Tsc22d4	4.12233208101176e-277	-0.300183125267585	0.113	0.392	7.94950518502309e-273	6	Tsc22d4
Ccr5	5.59755059219983e-277	-0.323702687055888	0.118	0.399	1.07943165619981e-272	6	Ccr5
Pcbp1	1.61738250578974e-276	-0.293665616224939	0.102	0.379	3.11896042416493e-272	6	Pcbp1
Elmo1	1.54493652151114e-275	-0.310125039386614	0.133	0.416	2.97925558808208e-271	6	Elmo1
Atp2b1	2.62014631454735e-275	-0.300924398106368	0.096	0.373	5.05269015297311e-271	6	Atp2b1
Tmem173	2.91509436430975e-275	-0.307300042281735	0.118	0.396	5.62146797213492e-271	6	Tmem173
Cap1	2.42807839991383e-273	-0.293122530961673	0.085	0.357	4.68230638639383e-269	6	Cap1
Tapbp	3.5641280278529e-273	-0.287427600951901	0.106	0.382	6.87306448891154e-269	6	Tapbp
Rnf13	2.69123438664869e-272	-0.29231574917645	0.109	0.385	5.18977639121334e-268	6	Rnf13
Herpud1.2	8.97372222151792e-272	-0.375279912913525	0.111	0.389	1.73049259319752e-267	6	Herpud1
Rhoh	3.42249773631439e-271	-0.327329134563769	0.119	0.396	6.59994463470868e-267	6	Rhoh
Top1	7.87560978398346e-271	-0.326894378084916	0.121	0.401	1.51873259074337e-266	6	Top1
Tm6sf1	1.48176424638659e-270	-0.301539377502485	0.113	0.388	2.8574341727319e-266	6	Tm6sf1
Arf4	5.13720517608692e-269	-0.308489043758148	0.097	0.369	9.90658646156601e-265	6	Arf4
Aplp2	2.51950876047303e-268	-0.329712619573098	0.098	0.37	4.8586206936962e-264	6	Aplp2
Fermt3	5.97595717054993e-268	-0.283328552747792	0.097	0.369	1.15240358076885e-263	6	Fermt3
Slc15a3	1.30704558771055e-267	-0.388618066537481	0.107	0.382	2.52050671134102e-263	6	Slc15a3
Psenen	1.560427261698e-267	-0.284981011663065	0.12	0.395	3.00912793145842e-263	6	Psenen
Sec11c	2.20454043266735e-267	-0.287500432998026	0.112	0.386	4.25123577035572e-263	6	Sec11c
Dennd4a	2.98061692802511e-265	-0.312445671976908	0.117	0.39	5.74782168400362e-261	6	Dennd4a
Gm2a	3.67227522452767e-265	-0.28532899243695	0.086	0.354	7.08161554297916e-261	6	Gm2a
Dst	6.76597457363668e-265	-0.303454250441849	0.114	0.386	1.3047505367801e-260	6	Dst
Psme1	4.22910635564593e-264	-0.285109374008089	0.1	0.369	8.15540869622762e-260	6	Psme1
Dnajb1.3	2.55228364200957e-263	-0.649548867186032	0.122	0.393	4.92182377525125e-259	6	Dnajb1
Fam46a	2.6108667836024e-263	-0.382669765297699	0.106	0.378	5.03479550549888e-259	6	Fam46a
Ccdc12	4.0933036828869e-263	-0.278632706373351	0.104	0.375	7.89352682207911e-259	6	Ccdc12
Eif4g2	6.25329274654394e-263	-0.286920425971257	0.114	0.385	1.20588497324353e-258	6	Eif4g2
Ptpn6	2.21836908242105e-262	-0.286553149010995	0.112	0.383	4.27790293854076e-258	6	Ptpn6
Vapa	1.54457818084237e-261	-0.281445319252364	0.104	0.374	2.97856456393643e-257	6	Vapa
Nptn	4.16977175198128e-261	-0.282934652692297	0.111	0.381	8.0409878465207e-257	6	Nptn
Rbx1	1.19487329071119e-260	-0.277030775805505	0.106	0.374	2.30419365380745e-256	6	Rbx1
Tpm3	1.9320931867746e-260	-0.284608257185781	0.107	0.376	3.72584850137613e-256	6	Tpm3
Scarb2	3.93321994099604e-260	-0.281267490723118	0.101	0.368	7.58482133421677e-256	6	Scarb2
Sem1	6.27085212257638e-260	-0.280492796271937	0.111	0.379	1.20927112331763e-255	6	Sem1
Ypel3	3.60416697495076e-259	-0.297238853679615	0.18	0.457	6.95027559449504e-255	6	Ypel3
Susd3	6.88686624326349e-259	-0.297916449930105	0.126	0.397	1.32806328635093e-254	6	Susd3
Arsb	1.67190074536186e-258	-0.31623649759282	0.099	0.362	3.2240933973558e-254	6	Arsb
Sfpq	2.50379828875675e-258	-0.283080811157718	0.099	0.365	4.82832462003851e-254	6	Sfpq
Slc11a1	5.35903026387218e-258	-0.289282535257938	0.101	0.366	1.03343539608511e-253	6	Slc11a1
Adgre1	6.70585766416716e-258	-0.292020966137366	0.114	0.381	1.293157591958e-253	6	Adgre1
Twf2	2.79593970749587e-257	-0.27550430599586	0.097	0.361	5.39169013193503e-253	6	Twf2
Ndufa2	7.35866225003312e-257	-0.279433171279882	0.103	0.367	1.41904442829639e-252	6	Ndufa2
Hmox1.2	7.52421843456504e-257	-0.636264207153795	0.113	0.382	1.45097028292152e-252	6	Hmox1
Gngt2	8.72395631872199e-257	-0.290377253101845	0.103	0.369	1.68232773650235e-252	6	Gngt2
Ubl3	6.1726953822041e-256	-0.289984491946355	0.101	0.366	1.19034257750424e-251	6	Ubl3
Dock10	9.61349979459842e-256	-0.291262839404958	0.114	0.38	1.85386730039036e-251	6	Dock10
mt-Nd4l	1.51671838219083e-255	-0.301134323224171	0.104	0.368	2.9248397282168e-251	6	mt-Nd4l
Sipa1	6.19710877229286e-255	-0.274850742160217	0.096	0.359	1.19505045564895e-250	6	Sipa1
Shisa5	6.76127623977578e-255	-0.280626984898705	0.086	0.346	1.30384451007836e-250	6	Shisa5
Derl1	1.12020373968565e-254	-0.266325527555835	0.092	0.354	2.16020089160981e-250	6	Derl1
Foxn3	3.61153477724127e-254	-0.28351606274003	0.106	0.37	6.96448366443206e-250	6	Foxn3
Snrpb	3.51669065390283e-253	-0.269467239209985	0.101	0.364	6.78158625698622e-249	6	Snrpb
Havcr2	2.83744341843925e-252	-0.274838303692304	0.091	0.351	5.47172588811825e-248	6	Havcr2
Pld3.1	3.7245859940643e-252	-0.291107141510357	0.092	0.351	7.18249163095359e-248	6	Pld3
Psmb8	1.17008327860319e-251	-0.274424790443513	0.104	0.366	2.25638859445838e-247	6	Psmb8
Akap13	1.35894354279157e-251	-0.283410495832667	0.104	0.367	2.62058672791926e-247	6	Akap13
Gm26825.2	2.08802856881917e-251	-0.682643981430393	0.114	0.377	4.02655429211088e-247	6	Gm26825
Ifnar2	6.78961667480784e-251	-0.27077447842023	0.094	0.354	1.30930967956994e-246	6	Ifnar2
Eif4a2	8.8882692152879e-251	-0.274639337209956	0.103	0.364	1.71401383547612e-246	6	Eif4a2
Itga6	1.46398508891335e-250	-0.308375542726522	0.116	0.381	2.8231488454605e-246	6	Itga6
Atp5j	1.66975384755199e-250	-0.275116821667954	0.106	0.368	3.21995331961926e-246	6	Atp5j
Hsph1.2	2.35635237999097e-250	-0.486376807436598	0.105	0.367	4.54398992957459e-246	6	Hsph1
Tmed3	3.01501894125753e-250	-0.272601049123781	0.103	0.365	5.81416252632103e-246	6	Tmed3
Eif3k	3.88255017584827e-250	-0.271690688414895	0.105	0.366	7.48710975910581e-246	6	Eif3k
Retreg1	9.06609120117809e-250	-0.268490705635203	0.086	0.343	1.74830502723518e-245	6	Retreg1
Cd34	2.09144719900843e-249	-0.300155200643943	0.107	0.368	4.03314677856786e-245	6	Cd34
Serinc1	1.57309708764135e-248	-0.275493146359812	0.118	0.379	3.03356042380758e-244	6	Serinc1
Grb2	2.63681583368991e-248	-0.266792124160492	0.096	0.355	5.08483565368762e-244	6	Grb2
Tmem234	3.55340766837885e-248	-0.265859954935362	0.097	0.356	6.85239134770178e-244	6	Tmem234
Krtcap2	4.42863611452792e-248	-0.269573064354833	0.101	0.361	8.54018188325563e-244	6	Krtcap2
Ppp1r14b	2.22499919704869e-247	-0.271410302597515	0.097	0.355	4.2906884515887e-243	6	Ppp1r14b
Psma7	3.56215243253646e-247	-0.266934412584011	0.094	0.352	6.8692547509033e-243	6	Psma7
Bmp2k	9.08889576030607e-247	-0.283090760302079	0.111	0.37	1.75270265841742e-242	6	Bmp2k
Sub1	4.09710477200345e-246	-0.277996213713314	0.102	0.36	7.90085684233146e-242	6	Sub1
Dynll1	4.4981860651468e-246	-0.299431478197609	0.124	0.384	8.6743020080291e-242	6	Dynll1
Gadd45b.3	9.75535897517487e-246	-0.510576275577073	0.088	0.344	1.88122342477272e-241	6	Gadd45b
Lrpap1	1.12612732350173e-245	-0.268596856310194	0.098	0.355	2.17162393064074e-241	6	Lrpap1
Srsf9	1.36808557347079e-245	-0.265326221648289	0.1	0.358	2.63821621988107e-241	6	Srsf9
Hmgb1	3.16027492857968e-245	-0.27276350913917	0.099	0.355	6.09427417227306e-241	6	Hmgb1
Ddrgk1	4.88286674800926e-245	-0.265353833233023	0.103	0.362	9.41612023686105e-241	6	Ddrgk1
Atp5l	6.68620822034897e-245	-0.292568426171251	0.187	0.454	1.2893683932121e-240	6	Atp5l
Rab3il1	1.05080992103662e-244	-0.275298963171312	0.113	0.373	2.02638185172701e-240	6	Rab3il1
Sdf2l1	5.73864329369001e-244	-0.289233624135864	0.092	0.346	1.10663997275518e-239	6	Sdf2l1
Usp2	5.85388032048863e-243	-0.288106134440943	0.1	0.356	1.12886228100303e-238	6	Usp2
Psmb1	5.39269171663067e-242	-0.258422414274315	0.098	0.352	1.03992667063506e-237	6	Psmb1
Ddx3x	5.52119752649568e-242	-0.360892351114888	0.119	0.381	1.06470773100943e-237	6	Ddx3x
Emc10	1.47547911510789e-241	-0.261375065941351	0.098	0.353	2.84531392557406e-237	6	Emc10
Ccrl2.3	1.85837342389766e-241	-0.562465476723131	0.096	0.348	3.58368731064426e-237	6	Ccrl2
Atp6ap2	2.25912445396364e-241	-0.262200421093613	0.107	0.364	4.35649559702347e-237	6	Atp6ap2
Ubl5	1.67703676716743e-240	-0.272304815584846	0.12	0.377	3.23399770180568e-236	6	Ubl5
AC149090.1	3.55474261409383e-240	-0.282088983190366	0.12	0.376	6.85496565701854e-236	6	AC149090.1
Ndufc2	7.58864810801189e-240	-0.263622575616069	0.109	0.364	1.46339490114901e-235	6	Ndufc2
Slc16a6	1.1435411965652e-239	-0.30377853408201	0.101	0.356	2.20520484345632e-235	6	Slc16a6
Tra2b	5.05509294728686e-239	-0.277588462354439	0.095	0.348	9.74824123954799e-235	6	Tra2b
Hnrnpa1	5.39171328759486e-239	-0.263055608064439	0.089	0.34	1.03973799037979e-234	6	Hnrnpa1
Csf3r	3.12820614993387e-238	-0.271986891884976	0.106	0.36	6.03243273953248e-234	6	Csf3r
Runx1	4.9710542581806e-238	-0.276325931125784	0.09	0.342	9.58618103147547e-234	6	Runx1
Lamtor1	4.14784890910337e-237	-0.259914557015006	0.103	0.355	7.99871183631494e-233	6	Lamtor1
Tln1	7.60414059294637e-236	-0.262684604817837	0.09	0.338	1.46638247194378e-231	6	Tln1
Tmem14c	3.87182536079745e-235	-0.252987368537022	0.093	0.343	7.46642802576179e-231	6	Tmem14c
Atf4.1	1.08381711932162e-234	-0.282826716469937	0.089	0.337	2.09003293289981e-230	6	Atf4
Mat2a	1.26627539280776e-233	-0.284978578040553	0.097	0.345	2.44188546749049e-229	6	Mat2a
Ncor1	3.64548260378874e-233	-0.262122564263851	0.097	0.346	7.02994865314621e-229	6	Ncor1
Psmb6	4.06031002707402e-233	-0.254635887499677	0.091	0.338	7.82990185620954e-229	6	Psmb6
Srsf2	4.31413867405044e-233	-0.280854088338948	0.103	0.352	8.31938501903887e-229	6	Srsf2
Rac2	1.50756327907565e-232	-0.269515666739473	0.094	0.341	2.90718502736948e-228	6	Rac2
Tcf25	5.99348594426981e-232	-0.255685744049003	0.092	0.339	1.15578382949299e-227	6	Tcf25
Rps6ka1	7.81433824856829e-232	-0.256341881219121	0.081	0.324	1.50691698785391e-227	6	Rps6ka1
Arpc4	1.40146777101961e-231	-0.255463915882744	0.093	0.34	2.70259044963422e-227	6	Arpc4
Itgb2	1.51322766533339e-231	-0.25876659876946	0.082	0.326	2.91810822982891e-227	6	Itgb2
Atp1b3	6.69409814172694e-231	-0.25476198588643	0.085	0.329	1.29088988565062e-226	6	Atp1b3
Evi2a	9.98600556534232e-231	-0.27850300321275	0.121	0.372	1.92570131322061e-226	6	Evi2a
Spcs1	1.15060907450086e-230	-0.250523902930999	0.093	0.339	2.21883453926745e-226	6	Spcs1
H2afy	8.48522972726811e-230	-0.256518964611339	0.087	0.331	1.63629170060638e-225	6	H2afy
Nisch	9.59366992971101e-230	-0.256621119410703	0.105	0.353	1.85004330924547e-225	6	Nisch
Prkcd	1.15801358420693e-229	-0.263486352194449	0.105	0.353	2.23311339578465e-225	6	Prkcd
Rpl35	1.18358849180238e-229	-0.263919747037209	0.096	0.342	2.28243204759172e-225	6	Rpl35
Ogfrl1	4.55293472636887e-229	-0.277976005467338	0.109	0.356	8.77987932632973e-225	6	Ogfrl1
Ptpra	5.16442218061728e-229	-0.262749896079887	0.109	0.357	9.95907173310235e-225	6	Ptpra
Snx17	1.03224134788096e-228	-0.254841451972535	0.09	0.335	1.99057421525364e-224	6	Snx17
Icam1.2	2.7658424715688e-226	-0.358363006801776	0.094	0.339	5.33365062217327e-222	6	Icam1
Snx18	5.15277332993477e-226	-0.260604560263333	0.102	0.347	9.9366080894462e-222	6	Snx18
Ier2.2	6.79770663107498e-226	-0.507569128639091	0.115	0.363	1.3108697467365e-221	6	Ier2
Dhrs3	1.2059319615143e-225	-0.257312814245507	0.097	0.34	2.32551919458417e-221	6	Dhrs3
Anp32a	1.3516935715331e-225	-0.253715477467693	0.091	0.333	2.60660588334443e-221	6	Anp32a
Gpi1	5.1335343806971e-225	-0.252621706305539	0.092	0.333	9.89950769973629e-221	6	Gpi1
Eif5.1	5.24967625449648e-224	-0.284330181371834	0.226	0.484	1.0123475689171e-219	6	Eif5
Mrpl52	1.3369171263165e-223	-0.250516774609143	0.094	0.335	2.57811098638874e-219	6	Mrpl52
Ski	2.35669810121589e-223	-0.251360648915963	0.095	0.336	4.54465661838473e-219	6	Ski
Plin2.1	7.3064361809139e-223	-0.320555828132109	0.085	0.324	1.40897315312744e-218	6	Plin2
Uqcr11	1.78658997265539e-222	-0.255732197434666	0.099	0.34	3.44526010326864e-218	6	Uqcr11
Gm42418	4.62170381435899e-222	-0.384520738154503	0.716	0.842	8.91249363560988e-218	6	Gm42418
Mdh1	4.67392480665102e-222	-0.253863860581404	0.101	0.343	9.01319659714583e-218	6	Mdh1
Csnk1a1	4.98794062175338e-221	-0.255303632970527	0.102	0.343	9.61874469498922e-217	6	Csnk1a1
Park7	1.56523215878298e-220	-0.250189484208304	0.105	0.346	3.0183936949971e-216	6	Park7
Prpf38b	4.50016299278162e-220	-0.260189552992812	0.099	0.339	8.67811431528007e-216	6	Prpf38b
Cttnbp2nl	1.43091697712711e-219	-0.255043674287461	0.097	0.336	2.75938029869193e-215	6	Cttnbp2nl
P4ha1	1.6029460011122e-219	-0.258086894438614	0.096	0.335	3.09112106854476e-215	6	P4ha1
Cd33	1.82284550250736e-219	-0.255416624550643	0.095	0.333	3.51517526703519e-215	6	Cd33
Pik3r1	1.32632496975062e-218	-0.264522821335302	0.095	0.333	2.5576850716671e-214	6	Pik3r1
Ehd4	4.42761006267948e-218	-0.253822769276797	0.099	0.338	8.53820324487111e-214	6	Ehd4
Ikzf1	6.57089298804491e-217	-0.251940129927018	0.103	0.342	1.26713100381458e-212	6	Ikzf1
Cox7a2	7.90465494161596e-217	-0.255127687612547	0.118	0.359	1.52433365894122e-212	6	Cox7a2
Gadd45g.3	2.56384275930497e-216	-0.63678923112204	0.127	0.373	4.9441143770437e-212	6	Gadd45g
Myl6	2.5078013458174e-215	-0.319530984183704	0.345	0.576	4.83604411527427e-211	6	Myl6
H3f3a	1.82853677266351e-212	-0.290291986674413	0.39	0.63	3.52615031240431e-208	6	H3f3a
Fosb.2	2.25723763972662e-211	-0.465490635150981	0.108	0.345	4.35285706444881e-207	6	Fosb
Ftl1.3	2.60787577572833e-211	-0.438651678972402	0.988	0.989	5.02902764591451e-207	6	Ftl1
Sept7	8.39317028234405e-211	-0.260568043631418	0.1	0.333	1.61853895724723e-206	6	Sept7
Senp2	4.68411738161449e-210	-0.282646229460365	0.091	0.324	9.03285195870538e-206	6	Senp2
Clk1	4.92217933114723e-210	-0.252662570728162	0.096	0.329	9.49193062218432e-206	6	Clk1
Tra2a	8.29563804346217e-210	-0.261118104060136	0.104	0.338	1.59973084030125e-205	6	Tra2a
Acox3	8.999566486952e-209	-0.320585055027121	0.093	0.325	1.73547640134382e-204	6	Acox3
Hspb1.4	1.04149611296072e-208	-0.839525547882499	0.147	0.383	2.00842110423345e-204	6	Hspb1
Klf4.2	4.11709988979018e-208	-0.483990735306407	0.113	0.348	7.93941542747139e-204	6	Klf4
Pdgfb.1	2.88410507323139e-207	-0.317131237495553	0.108	0.344	5.56170822321942e-203	6	Pdgfb
Irf2bp2	5.58049028594525e-206	-0.253708442398922	0.087	0.315	1.07614174674168e-201	6	Irf2bp2
Tpi1	1.73673047072337e-204	-0.262339504610615	0.082	0.308	3.34911103974295e-200	6	Tpi1
1700017B05Rik	4.15710349512585e-204	-0.250325667215491	0.097	0.326	8.0165583800007e-200	6	1700017B05Rik
Lst1	1.05603004468268e-203	-0.262171726471207	0.094	0.323	2.03644833816608e-199	6	Lst1
Chka.2	3.07012125323605e-202	-0.354360607833045	0.078	0.304	5.92042182474041e-198	6	Chka
P2rx4	3.41056460733695e-202	-0.253051766440277	0.082	0.305	6.57693278878857e-198	6	P2rx4
Atpif1	5.74698931536441e-202	-0.25298228670443	0.184	0.423	1.10824941957487e-197	6	Atpif1
Neurl3.2	7.11566006656566e-202	-0.364103546680049	0.101	0.331	1.37218388723652e-197	6	Neurl3
Hpgd	3.04083603573084e-199	-0.276949125446662	0.109	0.337	5.86394821130335e-195	6	Hpgd
Ecscr.1	4.6825984579157e-196	-0.26697585876438	0.111	0.337	9.02992286624463e-192	6	Ecscr
Tsc22d3	4.82905945533548e-195	-0.28463771183827	0.096	0.318	9.31235825366894e-191	6	Tsc22d3
Sqstm1.1	1.26096573665721e-194	-0.26920046095347	0.084	0.303	2.43164632656977e-190	6	Sqstm1
Bhlhe41	9.92969019789233e-192	-0.253894709594273	0.094	0.312	1.91484145776156e-187	6	Bhlhe41
Slc38a2	4.62507374387087e-191	-0.264000119688523	0.088	0.306	8.91899220768058e-187	6	Slc38a2
Fam102b	1.89930107011647e-189	-0.256893353286151	0.095	0.313	3.66261218361259e-185	6	Fam102b
Socs3.2	1.2989683729985e-188	-0.370076103473245	0.09	0.307	2.50493061049031e-184	6	Socs3
Gem.2	3.88667667096945e-187	-0.359158608300405	0.084	0.296	7.49506729229749e-183	6	Gem
Xist.1	4.99200997803306e-185	-0.675908247905468	0.196	0.4	9.62659204163895e-181	6	Xist
Cd74.4	3.81736043726016e-184	-0.583767819362265	0.081	0.288	7.3613978672125e-180	6	Cd74
Tlr2.2	7.93974395833516e-183	-0.277252585203424	0.075	0.282	1.53110022492535e-178	6	Tlr2
Brd2	3.20209750576466e-182	-0.259870655069723	0.096	0.309	6.17492483011658e-178	6	Brd2
Kcnq1ot1	2.07832062790424e-178	-0.264246668993667	0.089	0.297	4.00783349885054e-174	6	Kcnq1ot1
Neat1.3	5.00783533309851e-178	-0.338763489941224	0.085	0.292	9.65710965634716e-174	6	Neat1
Zbtb20	6.35989675461257e-174	-0.268117608366204	0.086	0.289	1.22644249015949e-169	6	Zbtb20
Ifrd1.2	5.43127165043398e-171	-0.321754012536346	0.087	0.287	1.04736642506969e-166	6	Ifrd1
Adrb2	1.41225105436588e-170	-0.266421217693404	0.086	0.287	2.72338493323917e-166	6	Adrb2
Tuba1a	3.52756415898998e-165	-0.259478149003848	0.113	0.315	6.80255472419628e-161	6	Tuba1a
Atp2c1	3.03384069265251e-163	-0.310379686968687	0.101	0.302	5.85045839171109e-159	6	Atp2c1
Nfkbiz.2	6.6216069326696e-161	-0.294730298892521	0.07	0.258	1.27691068089601e-156	6	Nfkbiz
Lgals3bp.1	7.6749856466031e-161	-0.256534809584126	0.071	0.261	1.48004423209094e-156	6	Lgals3bp
Ier3.3	1.68198392050852e-157	-0.400582525741745	0.082	0.271	3.24353779230863e-153	6	Ier3
Cited2	3.90444369250669e-152	-0.335222030030329	0.069	0.252	7.52932921662991e-148	6	Cited2
Nr4a1.2	1.32281023175762e-150	-0.28876409529047	0.074	0.255	2.5509072509214e-146	6	Nr4a1
Errfi1	4.85029046776804e-145	-0.305244062323027	0.078	0.257	9.35330013804389e-141	6	Errfi1
Tmx4	7.81835933315517e-140	-0.35374370578378	0.087	0.267	1.50769241380564e-135	6	Tmx4
Dbi	2.62850042531413e-116	-0.344486998951443	0.188	0.361	5.06880022017578e-112	6	Dbi
Hbb-bs.6	0	0.59352772124354	1	0.963	0	7	Hbb-bs
Hba-a1.6	0	0.527121210731935	1	0.554	0	7	Hba-a1
Hba-a2.6	0	0.446500461927739	0.998	0.504	0	7	Hba-a2
Hbb-bt.6	0	-0.969084655361784	0.866	0.44	0	7	Hbb-bt
Ttr.2	2.12360182558905e-10	-0.353175760983348	0.916	0.933	4.09515376046592e-06	7	Ttr
Cd74.5	0.00228171079672783	-0.265658995116625	0.248	0.272	1	7	Cd74
